Patalpa,Lentyna,Lentynos nuotrauka,Viršelių nuotraukų,Perskaityta knygų,Sulieta su senais,Naujų,Neįskaitomų,Pastabos
Žagarinė priepirtis,1,Zagarine priepirtis 1.JPG,0,13,10,1,2,"pos 2 ir pos 10: dvi knygos stovi giliau ir yra beveik visiškai užstotos — nugarėlių teksto nematyti · pos 11: „Išrinktasis. Blogio imperijos iškilimas“ — neaišku, kuri dalis yra serijos, kuri knygos pavadinimas; autoriaus nugarėlėje nėra"
Žagarinė priepirtis,2,Zagarine priepirtis 2.JPG,2,18,7,10,1,"Lentynos numeris 2 užrašytas ant apatinės lentos krašto; virš jo stovinti eilė (pos 1–16) priskirta 2-ai lentynai, o viršutinė eilė virš užrašo „1“ — ne. · pos 7–10, 12, 15–16: serijinės fantastikos knygos — ant nugarėlių tik pavadinimas ir serijos numeris, autorių nematyti. · pos 11: violetinė knyga atsukta nugara, pavadinimo perskaityti neįmanoma. · pos 17–18: viršelių nuotraukos 2_1 ir 2_2 darytos rankoje prieš kitą lentyną; šių knygų lentynos nuotraukoje sutapatinti nepavyko."
Žagarinė priepirtis,3,Zagarine priepirtis 3.JPG,2,12,10,2,0,"pos 8: Gustavo Švabo trijų tomų komplektas — nugarėlėse pavadinimo nėra · pos 9: žalios knygos nugarėlė neįskaitoma (knyga pasukta); tapatinimas su Homero „Odisėja“ iš nuotraukos 3_1 yra prielaida · pos 10: autorių pavardės perskaitytos apytiksliai („E. Temkinas, V. Ermanas“)"
Žagarinė priepirtis,4,Zagarine priepirtis 4.JPG,5,15,8,7,0,"Lentynos numeris 4 aiškiai užrašytas pieštuku ant lentos krašto — skaityta viršutinė eilė (10 knygų). · pos 9: Ž. Simenonas „Pirmoji Megrė užduotis“ — nugarėlės tekstas nublukęs, perskaityta iš priartinto kadro. · pos 11–15: viršelių nuotraukos 4_1–4_5 darytos rankoje prieš kitą spintos dalį (fone matyti lentyna „3“); šių knygų lentynos nuotraukoje sutapatinti nepavyko."
Žagarinė priepirtis,5,Zagarine priepirtis 5.JPG,1,17,8,8,1,"pos 6: mėlyna „Žvaigždžių karai“ knyga — autorius ir serijos dalis neįskaitomi · pos 12: žalia Oxford knygelė be matomo pavadinimo · pos 17: viršelio nuotraukoje nufotografuota knyga, lentynoje neatpažinta"
Žagarinė priepirtis,6,Zagarine priepirtis 6.JPG,0,6,1,1,4,"lentynos nuotrauka stipriai neryški (judesio suliejimas) — atskirų žurnalų numerių identifikuoti neįmanoma · lentynoje beveik vien periodika: įrašai 2, 4 ir 6 yra grupiniai, su apytiksliu vienetų skaičiumi natoje; iš viso lentynoje apie 45–50 fizinių leidinių · pos 5: pavadinimo pradžia užstota gretimų žurnalų"
Žagarinė priepirtis,7,Zagarine priepirtis 7.JPG,2,11,8,2,1,"pos 4 ir 8: antroje eilėje matosi dviejų knygų viršutiniai kraštai; sutapatinti su viršelių nuotraukomis 7_2 ir 7_1 spėjant · pos 11: raudonas spiralinis leidinys — teksto neįmanoma perskaityti (apverstas, neryškus) · lentyna nepilna — dešinėje pusėje tuščia vieta"
Žagarinė priepirtis,8,Zagarine priepirtis 8.JPG,2,16,2,2,12,"visa lentynos nuotrauka „Zagarine priepirtis 8.JPG“ neryški (ne fokuse) — beveik visos nugarėlės neįskaitomos; perskaityti pavyko tik du stambiausius užrašus (pos 12 ir 13) · lentynos numeris patvirtintas: virš lentos su užrašu „8“ esanti eilė (viršutinė lenta pažymėta „7“) · pos 1–11, 14: transkribuota tik pagal spalvą ir formatą; knygų skaičius (16) taip pat apytikslis — gilumoje gali būti daugiau visiškai uždengtų knygų · pos 15–16: viršelių nuotraukose nufotografuotos knygos su lentynos nugarėlėmis sutapatintos spėjamai (pagal spalvą ir vietą), nes nugarėlių tekstas neįskaitomas · nuotraukoje „Zagarine priepirtis 8_2.JPG“ fone matoma ta pati lentyna kiek ryškiau, bet užrašai vis tiek neįskaitomi"
Žagarinė priepirtis,9,Zagarine priepirtis 9.JPG,1,9,7,2,0,"pos 9: „Chiromantija“ žinoma tik iš viršelio nuotraukos — lentynos kadre šios brošiūros nugarėlės rasti nepavyko, todėl jos tikroji vieta eilėje nenustatyta · pos 5: Paolini knygos pavadinimas ant juodos nugarėlės surašytas stilizuotu šriftu, perskaityta „Ugnies karta“ su išlyga"
Žagarinė priepirtis,10,Zagarine priepirtis 10.JPG,0,12,10,2,0,"Lentynos nuotrauka „Zagarine priepirtis 10.JPG“ yra stipriai neryški — nugarėlės iš jos neįskaitomos; visos knygos perskaitytos iš tos pačios lentynos, patekusios į „Zagarine priepirtis 9.JPG“ apatinę kadro dalį, todėl pavadinimų patikimumas 0,6–0,8 · pos 2 ir 12: Dean Lorey „Košmarų akademija“ ciklo dalių paantraštės („Pabaisų medžiotojai“, „Monstrų kūrėjas“) perskaitytos su išlyga · pos 7: „Tūkstantis ir viena naktis“ — dekoratyvus šriftas neryškioje nuotraukoje, autorius / sudarytojas nenurodytas"
Žagarinė priepirtis,11,Zagarine priepirtis 11.JPG,0,15,2,1,12,Visa nuotrauka „Zagarine priepirtis 11.JPG“ yra neryški (ne fokuse) — daugumos nugarėlių perskaityti neįmanoma; reikėtų perfotografuoti · pos 6–11: pakrypusių žalsvų knygų/žurnalų krūvoje tikslus skaičius neaiškus (6 ± 1) · pos 12: pirmas pavadinimo žodis neperskaitomas
Žagarinė priepirtis,12,Zagarine priepirtis 12.JPG,0,0,0,0,0,"lentynos numeris „12“ pieštuku užrašytas ant lentos krašto po eile su periodiniais leidiniais (virš jos esanti lenta pažymėta „11“) — transkribuota būtent ši eilė · 12-oje lentynoje knygų nėra: visa lentyna nuo krašto iki krašto prikimšta plonų žurnalų ir periodinių leidinių, sustatytų statmenai, šonais į priekį · žurnalai matomi tik lapų pjūviais — nė vieno pavadinimo ar nugarėlės užrašo perskaityti neįmanoma; nuotrauka toje vietoje dar ir neryški · apytikslis leidinių skaičius — apie 100–130 vienetų (dvi tankios grupės: kairėje apie 40, dešinėje apie 80) · virš 12-os lentynos (11-oje) matomos knygos — Mario Puzo, „Gyvūnų stebuklai“, „The Algebraist“ ir kt. — priklauso 11-ai lentynai ir čia neįrašytos"
Žagarinė priepirtis,13,Zagarine priepirtis 13.JPG,0,12,10,1,1,"Lentynos numeris 13 aiškiai užrašytas pieštuku ant lentos krašto — skaityta virš jo stovinti eilė. · pos 1 ir pos 9: abi nugarėlės skaitomos vienodai („Marius Pietaris ir juodasis bokštas“, 2) — arba du egzemplioriai, arba skirtingi tos pačios knygos leidimai. · pos 10: plona knyga už kitų, pavadinimo perskaityti neįmanoma. · „Marius Pietaris“ serijos knygose autorius ant nugarėlės nenurodytas — tik monograma „MP“."
Žagarinė priepirtis,14,Zagarine priepirtis 14.JPG,0,7,3,1,3,"pos 2–4: trys didelio formato leidiniai guli plokščiai arba atsukti viršeliu — pavadinimų perskaityti neįmanoma; pos 2 gali būti ir ne knyga (galimai stalo žaidimo dėžė) · lentynoje taip pat guli medinė išilginė fleita — ne knyga, neįrašyta"
Žagarinė priepirtis,15,Zagarine priepirtis 15.JPG,0,7,6,1,0,"tarp knygų matomi balti suplyšusių aplankų skiautės — tai ne atskiros knygos · lentyna užimta tik iš dalies, dešinėje pusėje tuščia"
Žagarinė priepirtis,16,Zagarine priepirtis 16.JPG,1,22,13,5,4,"Lentynos numeris 16 užrašytas ant apatinės lentos krašto; virš jo stovinti eilė priskirta 16-ai lentynai (eilė virš užrašo „15“ — Hario Poterio knygos — neįrašyta). · pos 1, 9, 13, 20: keturios knygos be įskaitomo teksto ant nugarėlės (pasvirusios arba susidėvėjusios). · pos 14: Vincas Krėvė — matyti tik autoriaus vardas. · pos 19: „Mažoji muzikos istorija“ — nublukęs tekstas ant drobinės nugarėlės. · pos 22: viršelio nuotrauka 16_1 daryta rankoje kitoje patalpos vietoje; lentynos nuotraukoje sutapatinti nepavyko."
Žagarinė priepirtis,17,Zagarine priepirtis 17.JPG,0,26,16,3,7,"pos 1–4: kairysis kampas labai tankus, kelios knygos stovi aukštyn kojomis ir pakrypusios — ribos tarp jų neaiškios; „King-Smith“ knygos pavadinimo nematyti · pos 3 ir 11: užpakalinės eilės knygos (kreminė su juodu piešiniu ir žalia) — matyti tik viršutiniai kraštai · pos 8: pilkšva nugarėlė su smulkiu tekstu tarp „BOND“ ir „Swimmy“ — neįskaitoma · pos 12: mažesnė raudona knygelė prie didžiojo „Merė Popins“ tomo — gali būti atskiras tomas arba to paties tomo aplankas · pos 18: plona suplyšusi knygelė tarp „Lietuvių liaudies anekdotų“ ir „Barono Miunhauzeno nuotykių“ — be įskaitomo teksto · pos 24: juoda įspausta nugarėlė — pavadinimas neaiškus, panašu į „DEIVĖ LAIMĖS LEM…“"
Žagarinė priepirtis,18,Zagarine priepirtis 18.JPG,0,28,12,8,8,"pos 5, 6, 8: knygos stovi antroje eilėje arba yra uždengtos priekinių, nugarėlių tekstas neįskaitomas · pos 9: „4 ½ draugo“ ciklo dalis — serijos antraštė įskaitoma, konkretaus tomo pavadinimas ne · pos 10–13: Egmont serijos „Donaldas ir kiti“ tomai su dviejų istorijų antraštėmis; ilgos antraštės perskaitytos įstrižai, galimi netikslumai žodžių gale · pos 17–19: trys ploni pilki leidiniai / sąsiuviniai be jokių užrašų; jų kiekis gali svyruoti ±1 · pos 1: „Walt Disney“ leidinio pavadinimo ant nugarėlės nėra"
Žagarinė salonas,1,Zagarine Salonas 1.JPG,0,8,7,1,0,"lentynos numeris „1“ aiškiai matomas ant lentos krašto po knygomis; eilė virš jo perskaityta visa (8 knygos, lentynos kairė pusė tuščia) · pos 2: rusiška alpinizmo knyga be matomo autoriaus, tekstas nugarėlėje apverstas"
Žagarinė salonas,2,Zagarine Salonas 2.JPG,0,13,12,0,1,"lentynos numeris „2“ aiškiai matomas ant lentos krašto po knygomis (virš jo — aprašyta eilė; aukščiau esanti eilė pažymėta „1“) · pos 1–2: K. Popperio tomų nugarėlėse pavadinimo nėra, tik autorius ir tomo numeris · pos 9–10: S. Daukanto tomo pavadinimas nematomas; už jo pasvirusi dar viena knyga be įskaitomos nugarėlės"
Žagarinė salonas,3,Zagarine Salonas 3.JPG,0,17,15,2,0,"Lentynos numeris „3“ aiškiai užrašytas ant lentos po eile; virš jos esanti lenta pažymėta „2“ – eilė identifikuota patikimai. · Lentyna nufotografuota visa: matyti ir kairysis, ir dešinysis galas; viršelių (_N) nuotraukų šiai lentynai nėra. · pos 5, 7, 8, 17: ant nugarėlių matyti tik autoriai, pavadinimų nėra. · Tarp pos 4 (I. Kantas) ir pos 5 (Э. Дюркгейм) matyti juodas paviršius su baltais laužtiniais ženklais – laikau, kad tai pakrypusios Kanto knygos priekinis viršelis, o ne atskira knyga. · pos 15: „Saulabroliai“ – ant nugarėlės atspausta „SAULAB ROLIAI“."
Žagarinė salonas,4,Zagarine Salonas 4.JPG,0,0,0,0,0,"Lentynoje 4 knygų nėra — tai dekoratyvinė niša: prie galinės sienelės atremtas plokštelės / plakato viršelis „CinAmono duo. Vytis Nivinskas · Laura Budreckytė“, priekyje keramikinis dubuo su gintaro gabalėliais, žalsva vazelė su raudona rože, po dubeniu padėkliukas su užrašu „MÁLAGA“, dešinėje atvirukas su miesto vaizdu ir odinis dirželis. · Lentynos numeris „4“ aiškiai užrašytas ant lentos krašto po šia niša; eilės virš „3“ ir po „4“ priklauso kitoms lentynoms ir neįrašytos."
Žagarinė salonas,5,Zagarine Salonas 5.JPG,21,31,11,20,0,"Lentynos numeris „5“ pieštuku matomas ant lentos, virš kurios stovi ši knygų eilė (virš jos esanti lenta pažymėta „4“), todėl eilė priskirta 5-ai lentynai. · pos 4: už juodos Donato Katkaus knygos antroje eilėje stovi balta knyga, matomas tik užrašas „Donatas K...“ — pavadinimas neįskaitomas. · pos 10: ant „kitas pasaulis“ viršelio esantis autoriaus vardas per smulkus; nugarėlėje autorius nurodytas kaip „RoRa“. · pos 11–31: nė viena iš 21 viršelio nuotraukos knygų neatpažįstama lentynos nuotraukoje — jos nufotografuotos atskirai (16 ant medinių grindų, 5 ant stalo), todėl įrašytos kaip atskiri įrašai su source „cover“. · pos 26: „Tapyba“ (Vaga, Vilnius, 1968) — pavadinimas užrašytas teptuko šriftu, skaitymas nevisiškai tikras."
Žagarinė salonas,7,Zagarine Salonas 7.JPG,0,9,6,1,2,"Lentynos numeris „7“ įskaitomas ant apatinės lentos; virš jo esanti eilė ir įrašyta. Eilė virš užrašo „6“ (Vytautas Petkevičius ir kt.) nerašyta – ji priklauso 6-ai lentynai. · pos 3 ir pos 5: dvi knygos įstumtos už pirmos eilės, matosi tik viršutiniai kraštai – pavadinimų perskaityti neįmanoma. · Ši lentyna neturi knygų (viršelių) nuotraukų."
Žagarinė salonas,8,Zagarine Salonas 8.JPG,8,40,26,10,4,"Lentynos numeris „8“ aiškiai matomas ant lentos krašto — aprašyta eilė tiesiai virš šio užrašo. · Lentynos nuotrauka nukirsta dešinėje: nuo pos 28 (Pasteras) iki pos 34 knygos matomos tik viršelio nuotraukoje 8_1. · pos 3, 5, 19, 31: keturios knygos be įskaitomo teksto (tuščia balta nugarėlė, sena knyga gotikiniu šriftu suplyšusiu aplanku, balta knyga antroje eilėje, nudėvėta ruda nugarėlė). · pos 8 ir 11: serijos „Lituanistinė biblioteka“ knygos — nugarėlėse tik serija ir autorius, pavadinimų nėra. · pos 9 ir 10: du skirtingi to paties A. Sabaliausko veikalo „Mes baltai“ leidimai, o ne vienas komplektas. · pos 13, 14: ar „Marcelinas Ročka“ ir „Mažosios Lietuvos kultūros pėdsakai“ yra atskiros knygos, ar to paties leidinio dalys, iš nuotraukos nėra visiškai aišku. · pos 35–40: šešios knygos iš viršelių nuotraukų (8_3–8_9), kurių lentynos nuotraukoje atpažinti nepavyko; kai kurios gali sutapti su pos 3, 5, 19 ar 31 neįskaitomomis knygomis. · Partijoje nėra failo „Zagarine Salonas 8_2.JPG“ (jo nėra nei batch faile, nei raw kataloge)."
Žagarinė salonas,9,Zagarine Salonas 9.JPG,12,38,21,16,1,"Lentynos numeris „9“ aiškiai užrašytas ant lentos po šia eile – eilė identifikuota patikimai. · Pagrindinėje nuotraukoje dešinysis lentynos galas nukirstas; pozicijos 19–27 perskaitytos iš nuotraukos „Zagarine Salonas 9_1.JPG“, kuri rodo tą pačią lentyną iš dešinės. · pos 6: „Alma“ (Tyto alba) – ant nugarėlės nėra autoriaus, pavadinimas gali būti ilgesnis. · pos 7: Mykolas Römeris – pavadinimo ant nugarėlės nesimato, tik serija „Teisinės minties palikimas“. · pos 12: kreminė knyga be jokio teksto ant nugarėlės. · pos 14: „Molio Motiejaus užrašai“ – pirmasis žodis iš dalies užtemdytas blizgesio. · pos 23: „Tebesitęsianti akistata, arba Atgyja tai, kas ir nebuvo numirę“ – dviejų spalvų nugarėlė, gali būti dvi atskiros knygos, bet tekstas eina viena linija. · Nuotraukos 9_2–9_12 rodo knygas, išimtas ant stalo; lentynos nuotraukoje jų neatpažinau, todėl įrašytos atskirai (source „cover“)."
Žagarinė salonas,10,Zagarine Salonas 10.JPG,16,46,27,18,1,"pos 12: gotišku šriftu užrašyta nugarėlė nuotraukoje neryški — neįskaitoma net padidinus · pos 8, 11, 15: serijos „Lituanistinė biblioteka“ tomai — ant nugarėlių nurodytas tik autorius, pavadinimų nėra · pos 23–32: dešinysis lentynos galas nepatenka į lentynos nuotrauką; perskaityta iš platesnės nuotraukos 10_1 · pos 33–46: viršelių nuotraukose knygos gulinčios ant stalo, lentynos nugarėlėse jų neatpažinau — įrašytos kaip atskiri įrašai (gali būti, kad kai kurios sutampa su pos 8, 11, 12, 15)"
Žagarinė salonas,11,Zagarine Salonas 11.JPG,10,31,18,10,3,"Lentynos numeris „11“ aiškiai matomas ant lentos krašto — aprašyta eilė tiesiai virš šio užrašo. · pos 6–8: trys knygos be matomo teksto (geltonas ir rudas viršutiniai kraštai antroje eilėje, alyvinė nugarėlė be užrašo). · pos 12: tomo numeris („II“ ar „III“) ir paantraštė blizgioje nugarėlėje sunkiai įskaitomi. · pos 19: Vlado Drėmos knygos pavadinimo nugarėlėje nėra. · pos 23–31: devynios knygos iš viršelių nuotraukų (11_2–11_10), kurių lentynos nuotraukoje atpažinti nepavyko; dalis jų gali būti pos 6–8 neįskaitomos knygos antroje eilėje, todėl galimas nedidelis dubliavimas. · pos 30–31 (200 žaidimų, Kuka Muka) temiškai visai nesiderina su Vilniaus istorijos lentyna — gali būti iš gretimos lentynos."
Žagarinė salonas,12,Zagarine Salonas 12.JPG,16,45,24,18,3,"pos 2–3: prie kairės sienelės pasvirusios dvi (galbūt viena) lenkiškos knygos — viena matoma tik viršelio fotografija, kita raudona nugarėle su regionų sąrašu (Karpaty, Wyżyny, Sudety, Niziny, Pobrzeża); pavadinimai neįskaitomi · pos 4–5: dvi Justino Marcinkevičiaus knygos (viena guli gulsčiai ant eilės, kita su tiškalo raštu) — matyti tik autoriaus pavardė, pavadinimai užstoti · pos 17: tarp „Paprastos pilnatvės“ ir Richardo Bacho matyti balta briauna — greičiausiai paties Bacho knygos šonas, bet gali būti ir atskira knyga be užrašo · pos 19–29: pagrindinėje lentynos nuotraukoje eilė nukirsta ties A. Genio „Том 1“; dešinioji dalis perskaityta iš platesnės nuotraukos Zagarine Salonas 12_1.JPG (ji rodo tą pačią eilę virš užrašo „12“) · pos 29: Bernardo Brazdžionio tomo pavadinimo ant nugarėlės nėra · pos 30–45: nuotraukos 12_2–12_16 — knygos, nufotografuotos ant stalo; lentynos eilėje jų atpažinti nepavyko, todėl įrašytos kaip atskiros (source „cover“) · pos 34–37, 40: viršelių nuotraukos neryškios (autorių pavardės ir dalis pavadinimų spėjami)"
Žagarinė salonas,13,Zagarine Salonas 13.JPG,13,35,22,12,1,"Lentynos nuotraukoje „Zagarine Salonas 13.JPG“ dešinysis lentynos galas nepatenka į kadrą; likusi eilė (pos 16–23) perskaityta iš „Zagarine Salonas 13_1.JPG“, kurioje matyti ta pati lentyna su užrašu 13. · pos 14: plona knyga fotografine nugarėle tarp T. Staniulio knygų — įskaitomas tik vardas „ARVYDAS“. · pos 11: autoriaus pavardė (Arnašius / Arvašius) smulki ir neryški. · pos 24: nufotografuotas tik antologijos turinio lapas, paties viršelio ir pavadinimo nėra. · pos 25–34: viršelių nuotraukose nufotografuotos knygos lentynos eilėje neatpažįstamos — greičiausiai išimtos iš lentynos ant stalo. · 13_13: „Mėnulio vaikai“ — pagal savininko nuorodą, nuotrauka neparsisiųsta"
Žagarinė salonas,14,Zagarine Salonas 14.JPG,9,28,13,13,2,"pos 3 ir pos 8: dvi knygos guli už eilės, matomi tik viršelių kraštai — pavadinimų nenuskaityti · pos 5, 9–13: nugarėlėse matomi tik autorių vardai (N. Michailovas, Arvydas Ambrasas ×2, Antanas Venclova, Algimantas Baltakis, Kazys Boruta), pavadinimų ant nugarėlių nėra arba jie nenuskaitomi · pos 4: autoriaus pavardė „Vladas Portapas“ perskaityta neryškiai · pos 18–20: trys knygos stovi atskirai dešiniajame lentynos gale — matomos tik plačiame kadre 14_1, pagrindinėje lentynos nuotraukoje jų nėra · pos 21–28: viršelių nuotraukos 14_2–14_9 darytos ant stalo, ne lentynoje; šių knygų lentynos eilėje atpažinti nepavyko, tačiau jos įrašytos kaip priklausančios 14 lentynai"
Žagarinė salonas,15,Zagarine Salonas 15.JPG,6,27,20,5,2,"Nuotrauka „Zagarine Salonas 15_1.JPG“ yra ne knygos stambus planas, o platesnis tos pačios 15-os lentynos kadras (matosi pieštuku užrašytas „15“); iš jo perskaitytos knygos pos 15–22, kurių pagrindiniame lentynos kadre nesimato. · pos 8: Andrejaus Konstantinovo knygos nugarėlė apačioje suplėšyta, matomas tik žodis „Петербург“. · pos 18: už Montefiore ir Service knygų įstumta rusiška knyga su Stalino nuotrauka; nugarėlės teksto neįmanoma perskaityti. · pos 26: nuotrauka 15_5 per neryški, pavadinimo ir autoriaus nustatyti nepavyko."
Žagarinė salonas,16,Zagarine Salonas 16.JPG,9,32,27,4,1,"pos 5: „Institutional Economics“ — autoriaus pavardės ant nugarėlės nematyti, tik leidykla „California“ · pos 17–24: šios knygos į pagrindinę lentynos nuotrauką nepateko (kadras nukirstas dešinėje) — perskaitytos iš plataus kadro 16_1, kuris rodo tos pačios 16 lentynos tęsinį · pos 20: už eilės stovinti knyga, matomas tik nugarėlės viršus — neįskaitoma · pos 25–32: viršelių nuotraukos 16_2–16_9 darytos ant stalo / rankoje, ne lentynoje; lentynos eilėje šių knygų atpažinti nepavyko, bet jos priskirtos 16 lentynai · pos 1, 9, 22, 23, 24: ant nugarėlių išspausdintos tik autorių pavardės (Jenks, Bowley, Loomis, Noonan, Christ), vardai nenurodyti"
Žagarinė salonas,17,Zagarine Salonas 17.JPG,0,15,12,3,0,"pos 1–3: ant nugarėlių nurodyti tik autoriai (Platonas, Maksvelis, Marcelijus Martinaitis) — pavadinimų nesimato · už pos 13 („Kristaus istorija“) lentynos gilumoje matyti rudas daiktas — greičiausiai dėžutė ar rėmelis, ne knyga; neįrašytas"
Žagarinė salonas,18,Zagarine Salonas 18.JPG,10,43,28,12,3,"Visos 10 viršelių nuotraukų (18_1–18_10) yra senos filosofijos knygos, nufotografuotos ant stalo; jų nugarėlių 18-oje lentynoje (verslo knygų eilė virš užrašo „18“) atpažinti nepavyko, todėl įrašytos atskirai kaip pos 34–43 su source „cover“. · pos 1: kairiausia knyga atsukta galiniu viršeliu, matosi tik „RŪTA G…“ · pos 25: Igno Staskevičiaus knygos pavadinimas rausvoje juostelėje neįskaitomas · pos 27: mėlyna nugarėlė be teksto; pos 31: plona balta nugarėlė, įskaitoma tik pavardė (panašu į „H. KARDEL“)"
Žagarinė salonas,19,Zagarine Salonas 19.JPG,0,16,12,1,3,"lentynos numeris „19“ aiškiai matomas ant lentos krašto po knygomis; aukščiau esanti eilė pažymėta „18“ ir nerašoma · pos 2, 13, 16: knygos, stovinčios už pirmosios eilės — nugarėlių teksto nematyti · dešiniajame lentynos gale knygų nėra: stovi kokoso kevalo dirbinys, dvi medinės kočėlo formos lazdos ir paveikslas rėmelyje · pos 15–16: japoniškų knygų pavadinimai perskaityti tik iš dalies"
