Senas ID,Senas autorius,Senas pavadinimas,Sena vieta,Patalpa,Lentyna,Pozicija,Perskaityta autorius,Perskaityta pavadinimas,Panašumas,Pasitikėjimas,Šaltinis,Viršelio nuotrauka,Pastaba
K00760,,Pirates of the Caribbean: At World's End — The Book of the Film,"Spinta F, 7 lentyna",Žagarinė priepirtis,5,17,,Pirates of the Caribbean: At World's End. The Book of the Film,1,0.9,cover,Zagarine priepirtis 5_1.JPG,minkštas viršelis; lentynos nuotraukoje neatpažinta
K00771,,GEO (žurnalai),"Spinta F, 8 lentyna (apatinė, žurnalai)",Žagarinė priepirtis,6,3,,GEO,0.67,0.5,spine,,žalia nugarėlė su baltu užrašu GEO
K00773,Patrick Rothfuss,The Wise Man's Fear,"Spinta G, 1 lentyna",Žagarinė priepirtis,7,1,Patrick Rothfuss,The Wise Man's Fear,1.15,0.9,spine,,juodas minkštas viršelis su rudens lapais
K00775,J. R. R. Tolkien,Žiedų valdovas (Antra dalis),"Spinta G, 1 lentyna",Žagarinė priepirtis,7,2,J. R. R. Tolkien,Žiedų valdovas. Pirma dalis,0.9,0.9,spine,,
K00803,J. R. R. Tolkien,Žiedų valdovas (Trečia dalis),"Spinta G, 4 lentyna",Žagarinė priepirtis,7,3,J. R. R. Tolkien,Žiedų valdovas. Antra dalis,0.9,0.9,spine,,
K00776,Alan Baker,Burtininkas,"Spinta G, 1 lentyna",Žagarinė priepirtis,7,5,Alan Baker,Burtininkas,1.15,0.9,spine,,juodas viršelis su auksinėmis raidėmis
K00778,G. P. Taylor,Šešėlių kerėtojas,"Spinta G, 1 lentyna",Žagarinė priepirtis,7,6,G. P. Taylor,Šešėlių kerėtojas,1.15,0.9,spine,,violetinis viršelis su žaibais
K00779,Garth Nix,Sabrielė,"Spinta G, 1 lentyna",Žagarinė priepirtis,7,7,Garth Nix,Sabrielė,1.15,0.9,spine,,ant nugarėlės serijos numeris [5]
K00780,Angie Sage,"Physik (Septimus Heap, Book Three)","Spinta G, 1 lentyna",Žagarinė priepirtis,7,9,Angie Sage,Septimus Heap: Physik,0.9,0.8,spine,,ant nugarėlės tik pavardė SAGE; nurodyta Book Three
K00781,James Patterson,Witch & Wizard,"Spinta G, 1 lentyna",Žagarinė priepirtis,7,10,James Patterson,Witch & Wizard,1.15,0.9,spine,,
K00789,John Grisham,Brokeris,"Spinta G, 2 lentyna",Žagarinė priepirtis,8,12,John Grisham,Brokeris,1.15,0.8,spine,,tamsiai mėlyna nugarėlė; vienas iš nedaugelio įskaitomų užrašų šioje neryškioje nuotraukoje
K00790,Harlan Coben,Nekaltas,"Spinta G, 2 lentyna",Žagarinė priepirtis,8,13,Harlan Coben,Nekaltas,1.15,0.8,spine,,juoda nugarėlė su raudonu autoriaus užrašu
K00792,Dan Brown,Skaitmeninė tvirtovė,"Spinta G, 3 lentyna",Žagarinė priepirtis,9,1,Dan Brown,Skaitmeninė tvirtovė,1.15,0.9,spine,,
K00793,Haruki Murakami,Žmogaus avies Kalėdos,"Spinta G, 3 lentyna",Žagarinė priepirtis,9,2,Haruki Murakami,Žmogaus avies Kalėdos,1.15,0.9,spine,,plona geltonos nugarėlės knyga
K00794,W. Bruce Cameron,Šuns tikslas,"Spinta G, 3 lentyna",Žagarinė priepirtis,9,3,W. Bruce Cameron,Šuns tikslas,1.15,0.9,spine,,"matyti ir balta nugarėlė, ir mėlynas priekinis viršelis — ta pati knyga"
K00796,Philip Pullman,Jo tamsiosios jėgos: Gintarinis žiūronas,"Spinta G, 3 lentyna",Žagarinė priepirtis,9,4,Philip Pullman,Gintarinis žiūronas,0.82,0.9,spine,,ciklas „Jo tamsiosios jėgos“
K00797,,Ugnies karta,"Spinta G, 3 lentyna",Žagarinė priepirtis,9,5,Christopher Paolini,Ugnies karta,1,0.7,spine,,"juoda nugarėlė, dekoratyvus šriftas; paskutinė pavadinimo raidė neaiški (gali būti „Ugnies kartas“)"
K00798,Christopher Paolini,Eragonas,"Spinta G, 3 lentyna",Žagarinė priepirtis,9,6,Christopher Paolini,Eragonas,1.15,0.9,spine,,"mėlyna nugarėlė, nutrintais kampais"
K00799,Christopher Paolini,Inheritance,"Spinta G, 3 lentyna",Žagarinė priepirtis,9,7,Christopher Paolini,Inheritance,1.15,0.9,spine,,žalia nugarėlė
K00801,Lene Kaaberbøl,Gėdytojos ženklas,"Spinta G, 4 lentyna",Žagarinė priepirtis,10,1,Lene Kaaberbøl,Gėdytojos ženklas,1.15,0.7,spine,,"tamsiai ruda nugarėlė; perskaityta iš „Zagarine priepirtis 9.JPG“ apatinės eilės, nes pačios lentynos nuotrauka neryški"
K00802,Dean Lorey,Košmarų akademija: Pabaisų medžiotojai (1),"Spinta G, 4 lentyna",Žagarinė priepirtis,10,2,Dean Lorey,Košmarų akademija. Pabaisų medžiotojai,1.15,0.7,spine,,1 knyga; paantraštė neryški
K00804,J. R. R. Tolkien,Húrino vaikai,"Spinta G, 4 lentyna",Žagarinė priepirtis,10,4,J. R. R. Tolkien,Hurino vaikai,1.15,0.8,spine,,pilka nugarėlė
K00806,Cornelia Funke,Drakono raitelis,"Spinta G, 4 lentyna",Žagarinė priepirtis,10,6,Cornelia Funke,Drakono raitelis,1.15,0.8,spine,,tamsiai mėlyna nugarėlė
K00807,,Tūkstantis ir viena naktis,"Spinta G, 4 lentyna",Žagarinė priepirtis,10,7,,Tūkstantis ir viena naktis,1,0.6,spine,,juoda nugarėlė su žalsvu dekoratyviu šriftu; skaityta neryškioje nuotraukoje
K00808,A. A. Milne (A. A. Milnas),Pūkuotuko pasaulis,"Spinta G, 4 lentyna",Žagarinė priepirtis,10,8,A. A. Milne,Pūkuotuko pasaulis,1.15,0.8,spine,,šviesiai mėlyna nugarėlė; autoriaus inicialai nugarėlės apačioje smulkūs
K00809,Michael Scott,Magas,"Spinta G, 4 lentyna",Žagarinė priepirtis,10,9,Michael Scott,Magas,1.15,0.8,spine,,ciklas „Nemirtingojo Nikolo Flamelio paslaptys“; tamsiai raudona nugarėlė
K00810,Michael Scott,Burtininkas,"Spinta G, 4 lentyna",Žagarinė priepirtis,10,10,Michael Scott,Burtininkas,1.15,0.8,spine,,ciklas „Nemirtingojo Nikolo Flamelio paslaptys“; juoda nugarėlė
K00811,Michael Scott,Alchemikas,"Spinta G, 4 lentyna",Žagarinė priepirtis,10,11,Michael Scott,Alchemikas,1.15,0.8,spine,,ciklas „Nemirtingojo Nikolo Flamelio paslaptys“; žalsvai mėlyna nugarėlė
K00812,Dean Lorey,Košmarų akademija: Monstrų kerštas (2),"Spinta G, 4 lentyna",Žagarinė priepirtis,10,12,Dean Lorey,Košmarų akademija. Monstrų kūrėjas,0.9,0.6,spine,,2 knyga; pavadinimo antras žodis neryškus
K00813,,Jūra,"Spinta G, 5 lentyna",Žagarinė priepirtis,11,1,,Jūra,1,0.7,spine,,"stora tamsiai mėlyna knyga, didelės baltos raidės „JŪRA“, apačioje leidyklos ženklas"
K00817,,Gyvūnų jaunikliai,"Spinta G, 5 lentyna",Žagarinė priepirtis,11,12,,Jaunikliai,0.67,0.4,spine,,"juoda nugarėlė; antroje eilutėje aiškiai skaitoma „JAUNIKLIAI“, pirmas pavadinimo žodis neįskaitomas"
K00822,,Marius Pietaris ir juodasis bokštas (2),"Spinta G, 7 lentyna",Žagarinė priepirtis,13,1,,Marius Pietaris ir juodasis bokštas,1,0.9,spine,,2 knyga; ant nugarėlės monograma „MP“; autorius ant nugarėlės nenurodytas; atrodo kaip antras tos pačios knygos egzempliorius (plg. pos 9)
K00823,Peter S. Beagle,Burtininko mirtis,"Spinta G, 7 lentyna",Žagarinė priepirtis,13,2,Peter S. Beagle,Burtininko mirtis,1.15,0.9,spine,,
K00824,Andrzej Sapkowski,Raganius,"Spinta G, 7 lentyna",Žagarinė priepirtis,13,3,Andrzej Sapkowski,Raganius,1.15,0.9,spine,,
K00825,Philip Reeve,Grobuonies auksas,"Spinta G, 7 lentyna",Žagarinė priepirtis,13,4,Philip Reeve,Grobuonies auksas,1.15,0.9,spine,,
K00826,Eoin Colfer,Artemidas Faulas,"Spinta G, 7 lentyna",Žagarinė priepirtis,13,5,Eoin Colfer,Artemidas Faulas,1.15,0.9,spine,,mėlynas viršelis
K00827,Eoin Colfer,Artemidas Faulas: Įvykis Arktyje,"Spinta G, 7 lentyna",Žagarinė priepirtis,13,6,Eoin Colfer,Artemidas Faulas. Įvykis Arktyje,1.15,0.9,spine,,šviesiai mėlynas viršelis
K00828,Eoin Colfer,Artemidas Faulas: Amžinybės kodas,"Spinta G, 7 lentyna",Žagarinė priepirtis,13,7,Eoin Colfer,Artemidas Faulas. Amžinybės kodas,1.15,0.9,spine,,tamsiai raudonas viršelis
K00829,,Marius Pietaris ir burtų knyga (1),"Spinta G, 7 lentyna",Žagarinė priepirtis,13,8,,Marius Pietaris ir burtų knyga,1,0.9,spine,,1 knyga; ant nugarėlės monograma „MP“; autorius ant nugarėlės nenurodytas
K00830,,Mano pirmoji gamtos enciklopedija (5–8 metai),"Spinta G, 7 lentyna",Žagarinė priepirtis,13,11,,Mano pirmoji gamtos enciklopedija,0.89,0.9,spine,,ant nugarėlės „5–8 metai“
K00831,,Gražiausios lietuvių pasakos (II),"Spinta G, 7 lentyna",Žagarinė priepirtis,13,12,,Gražiausios lietuvių pasakos,1,0.9,spine,,II dalis; žalia nugarėlė
K00832,,Fleitos pradžiamokslis,"Spinta G, 8 lentyna",Žagarinė priepirtis,14,1,,Fleitos pradžiamokslis,1,0.9,spine,,guli plokščiai lentynos apačioje; autoriaus nugarėlėje nėra
K00834,Cornelia Funke,Vaiduoklių medžiotojams gresia pavojus,"Spinta G, 8 lentyna",Žagarinė priepirtis,14,6,Funke,Vaiduoklių medžiotojams gresia pavojus,1.15,0.9,spine,,
K00835,Cornelia Funke,Vaiduoklių medžiotojai kraupioje bailyje,"Spinta G, 8 lentyna",Žagarinė priepirtis,14,7,Funke,Vaiduoklių medžiotojai kraupioje pilyje,0.9,0.9,spine,,
K00838,J. K. Rowling,Haris Poteris ir Netikras Princas,"Spinta G, 9 lentyna",Žagarinė priepirtis,15,1,J. K. Rowling,Haris Poteris ir Netikras Princas,1.15,0.9,spine,,tamsiai žalias viršelis; ant nugarėlės tik pavardė ROWLING
K00840,J. K. Rowling,Harry Potter and the Half-Blood Prince,"Spinta G, 9 lentyna",Žagarinė priepirtis,15,2,J. K. Rowling,Harry Potter and the Deathly Hallows,0.77,0.9,spine,,"juodas viršelis, labai apdraskytas, nugarėlė suirusi"
K00841,J. K. Rowling,Haris Poteris ir Mirties relikvijos,"Spinta G, 9 lentyna",Žagarinė priepirtis,15,4,J. K. Rowling,Haris Poteris ir Mirties relikvijos,1.15,0.9,spine,,
K00842,J. K. Rowling,Haris Poteris ir Azkabano kalinys,"Spinta G, 9 lentyna",Žagarinė priepirtis,15,5,J. K. Rowling,Haris Poteris ir Azkabano kalinys,1.15,0.9,spine,,
K00843,J. K. Rowling,Haris Poteris ir Ugnies taurė,"Spinta G, 9 lentyna",Žagarinė priepirtis,15,6,J. K. Rowling,Haris Poteris ir Ugnies taurė,1.15,0.9,spine,,aplankas suplyšęs
K00844,J. K. Rowling,Haris Poteris ir Fenikso brolija,"Spinta G, 9 lentyna",Žagarinė priepirtis,15,7,J. K. Rowling,Haris Poteris ir Fenikso brolija,1.15,0.9,spine,,aplankas suplyšęs
K00845,Vytautė Žilinskaitė,Ledinė fėjaitė,"Spinta G, 10 lentyna",Žagarinė priepirtis,16,2,Vytautė Žilinskaitė,Ledinė fėja,0.65,0.9,spine,,"tamsi nugarėlė, viršus apiplyšęs"
K01065,,Gražiausios Anderseno pasakos,"Spinta I, 4 lentyna",Žagarinė priepirtis,16,3,,Gražiausios Anderseno pasakos,1,0.9,spine,,ant nugarėlės „III“ — trečia dalis
K00848,Broliai Grimai,Brolių Grimų pasakos,"Spinta G, 10 lentyna",Žagarinė priepirtis,16,5,,Brolių Grimų pasakos,1,0.9,spine,,oranžinė nugarėlė
K00849,Oskaras Milašius,Lietuviškos pasakos,"Spinta G, 10 lentyna",Žagarinė priepirtis,16,6,Oskaras Milašius,Lietuviškos pasakos,1.15,0.9,spine,,
K00850,Antanas Vaičiulaitis,Pasakos,"Spinta G, 10 lentyna",Žagarinė priepirtis,16,7,Antanas Vaičiulaitis,Pasakos,1.15,0.9,spine,,
K00851,Lewis Carroll,Alisa stebuklų šalyje,"Spinta G, 10 lentyna",Žagarinė priepirtis,16,10,,Alisa stebuklų šalyje,1,0.9,spine,,šviesiai mėlyna nugarėlė; autorius ant nugarėlės nenurodytas
K00538,Albertas Vijūkas-Kojelavičius,Lietuvos istorija,"Spinta D, 3 lentyna",Žagarinė priepirtis,16,11,,Lietuvos istorija,1,0.9,spine,,koralinė nugarėlė; autorius ant nugarėlės nenurodytas
K00853,K. Marukas,Sunku būti geram,"Spinta G, 10 lentyna",Žagarinė priepirtis,16,12,K. Marukas,Sunku būti geram,1.15,0.9,spine,,
K00016,,,"Spinta A, 1 lentyna (viršutinė)",Žagarinė priepirtis,16,14,Vincas Krėvė,,1,0.5,spine,,"kreminė nugarėlė; matyti tik autoriaus vardas, pavadinimo ant nugarėlės nesimato"
K00855,Levas Davydyčevas,Antraklasio ir antramečio nuotykiai,"Spinta G, 10 lentyna",Žagarinė priepirtis,16,15,Levas Davydyčevas,Antraklasio ir antramečio nuotykiai,1.15,0.9,spine,,
K00856,Kęstutis Kasparavičius,Kvailios istorijos,"Spinta G, 10 lentyna",Žagarinė priepirtis,16,16,Kęstutis Kasparavičius,Kvailos istorijos,0.65,0.9,spine,,
K00857,Mikalojus Katkus,Balanos gadynė,"Spinta G, 10 lentyna",Žagarinė priepirtis,16,18,Mikalojus Katkus,Balanos gadynė,1.15,0.9,spine,,"geltona nugarėlė, viršus apiplyšęs"
K00858,,"Lietuvių pasakos apie žvėris, gyvulius ir paukščius","Spinta G, 10 lentyna",Žagarinė priepirtis,16,21,,"Lietuvių pasakos apie žvėris, gyvulius ir paukščius",1,0.9,spine,,balta nugarėlė su akvarelinėmis iliustracijomis
