Senas ID,Autorius,Pavadinimas,Sena vieta,Statusas
K01049,Agatha Christie,Žmogžudystė Rytų eksprese (?),"Spinta I, 2 lentyna",Lentynoje
K01052,Agatha Christie,Slaptas priešininkas (?),"Spinta I, 2 lentyna",Lentynoje
K01064,Arthur Conan Doyle,Šerloko Holmso nuotykiai (II tomas),"Spinta I, 3 lentyna",Lentynoje
K01095,Arturas Klarkas (Arthur C. Clarke),Rinktinė,"Spinta I, 7 lentyna (SF klasika)",Lentynoje
K01100,Jevgenijus Gabrilovičius (?),Franzijos pabaiga (?),"Spinta I, 7 lentyna (SF klasika)",Lentynoje
K01109,Peter Kelder,5 tibetiečių pratimai,"Spinta I, 9 lentyna (sveikata, saviugda)",Lentynoje
K01121,Carl Gustav Jung,Rinktinė,"Spinta I, 10 lentyna (psichologija)",Lentynoje
K01122,James Clear,Atominiai įpročiai,"Spinta I, 10 lentyna (psichologija)",Lentynoje
K01134,Karlos Kastaneda (Карлос Кастанеда),Сочинения (1–4 knygos),"Spinta I, 12 lentyna (Castaneda, Simenon)",Lentynoje
K01135,Georges Simenon (Жорж Сименон),Rinktinė,"Spinta I, 12 lentyna (Castaneda, Simenon)",Lentynoje
K01142,Josifas Brodskis (Josif Brodskij),Rinktinė,"Spinta I, 13 lentyna (rusų klasika)",Lentynoje
K01143,Aleksandras Genis (Александр Генис),Rinktinė,"Spinta I, 13 lentyna (rusų klasika)",Lentynoje
K01145,Michailas Bulgakovas (Михаил Булгаков),Rinktinė (raudonas tomas),"Spinta I, 13 lentyna (rusų klasika)",Lentynoje
K01149,Andrejus Platonovas (Андрей Платонов),Rinktinė (2 tomai),"Spinta I, 13 lentyna (rusų klasika)",Lentynoje
K01150,Borisas Akuninas (Борис Акунин),Rinktinė,"Spinta I, 13 lentyna (rusų klasika)",Lentynoje
K01160,,Tūkstantis li (壹仟里),"Spinta I, 14 lentyna (įvairenybės)",Lentynoje
K01166,Tomas Vulfas (Thomas Wolfe),"Žvelk, angele, į savo namus","Spinta I, 14 lentyna (įvairenybės)",Lentynoje
K01170,Albertas Kamiu (Albert Camus),Svetimas; Krytis,"Spinta I, 15 lentyna (moderni klasika)",Lentynoje
K01173,Gina Lazenby,Feng shui namų knyga,"Spinta I, 16 lentyna (feng shui, sveikata)",Lentynoje
K01174,Stephan Skinner,Feng Shui,"Spinta I, 16 lentyna (feng shui, sveikata)",Lentynoje
K01175,Viktoras Kulvinskas,Kaip išlikti XXI amžiuje: planetos gydytojų vadovas,"Spinta I, 16 lentyna (feng shui, sveikata)",Lentynoje
K01181,Anatolis Fransas (Anatole France),Rinktinė (oranžinis tomas),"Spinta I, 17 lentyna (XX a. klasika)",Lentynoje
K01183,Antoine de Saint-Exupéry,Minčių rinktinė,"Spinta I, 18 lentyna (poezija, esė)",Lentynoje
K01184,Fernando Pessoa,The Book of Disquiet,"Spinta I, 18 lentyna (poezija, esė)",Lentynoje
K01185,Walt Whitman,Leaves of Grass,"Spinta I, 18 lentyna (poezija, esė)",Lentynoje
K01186,Luigi Pirandello,Pirmoji naktis,"Spinta I, 18 lentyna (poezija, esė)",Lentynoje
K01187,Frédéric Beigbeder,"14,99 € (99 francs)","Spinta I, 19 lentyna (Beigbeder, Grisham)",Lentynoje
K01188,Frédéric Beigbeder,Rinktinė (antras tomas),"Spinta I, 19 lentyna (Beigbeder, Grisham)",Lentynoje
K01191,Rein Raud,Brolis,"Spinta I, 19 lentyna (Beigbeder, Grisham)",Lentynoje
K01192,Rein Raud,Rinktinė (antra knyga),"Spinta I, 19 lentyna (Beigbeder, Grisham)",Lentynoje
K01193,,The Orwell Reader,"Spinta I, 19 lentyna (Beigbeder, Grisham)",Lentynoje
K01195,Aldous Huxley,Suvokimo durys; Dangus ir pragaras,"Spinta I, 20 lentyna (Nobelio laureatai)",Lentynoje
K01196,Michailas Bulgakovas,Meistras ir Margarita,"Spinta I, 20 lentyna (Nobelio laureatai)",Lentynoje
K01210,Ernestas Hemingvėjus,Salos vandenyne,"Spinta I, 22 lentyna (Hemingway)",Lentynoje
K01213,Juozas Baltušis,Su kuo valgyta druska (?),"Spinta I, 22 lentyna (Hemingway)",Lentynoje
K01214,Jurga Ivanauskaitė (?),Kelias atgal (?),"Spinta I, 22 lentyna (Hemingway)",Lentynoje
K01215,Erich Maria Remarque (E. M. Remarkas),Dangus neturi numylėtinių,"Spinta I, 22 lentyna (Hemingway)",Lentynoje
K01217,J. D. Selindžeris (J. D. Salinger),Rugiuose prie bedugnės,"Spinta I, 23 lentyna (bitnikai, JAV proza)",Lentynoje
K01218,Jack Kerouac,On the Road,"Spinta I, 23 lentyna (bitnikai, JAV proza)",Lentynoje
K01219,Kurt Vonnegut,Slaughterhouse-Five,"Spinta I, 23 lentyna (bitnikai, JAV proza)",Lentynoje
K01220,Kurt Vonnegut,Cat's Cradle,"Spinta I, 23 lentyna (bitnikai, JAV proza)",Lentynoje
K01221,John Williams,Stoner,"Spinta I, 23 lentyna (bitnikai, JAV proza)",Lentynoje
K01222,Torntonas Vailderis (Thornton Wilder),Aštuntoji diena,"Spinta I, 23 lentyna (bitnikai, JAV proza)",Lentynoje
K01223,Charles Bukowski,Tales of Ordinary Madness,"Spinta I, 23 lentyna (bitnikai, JAV proza)",Lentynoje
K01228,Olga Tokarczuk,Rinktinė (juodas tomas),"Spinta I, 24 lentyna (Tokarczuk)",Lentynoje
K01229,Jaroslavas Hašekas,Šauniojo kareivio Šveiko nuotykiai,"Spinta I, 25 lentyna (Hašek, Laxness)",Lentynoje
K01230,Jaroslavas Hašekas,Šveikas (antras tomas),"Spinta I, 25 lentyna (Hašek, Laxness)",Lentynoje
K01231,Halldór Laxness,Independent People,"Spinta I, 25 lentyna (Hašek, Laxness)",Lentynoje
K01232,Emils Azaras (Émile Ajar / Romain Gary),Gyvenimas dar prieš akis,"Spinta I, 25 lentyna (Hašek, Laxness)",Lentynoje
K01233,Ričardas Pachas (?),Vienas,"Spinta I, 25 lentyna (Hašek, Laxness)",Lentynoje
K01239,Romualdas Granauskas,Apsakymai ir esė (rinktinė),"Spinta I, 26 lentyna (Granauskas)",Lentynoje
