Patalpa,Lentyna,Pozicija,Autorius,Pavadinimas,Kalba,Pasitikėjimas,Šaltinis,Viršelio nuotrauka,Pastaba
Žagarinė miegamasis,7,8,,,,0.3,spine,,neįskaitoma: tamsiai ruda knyga su piešta žaluma ir parašu ant nugarėlės; teksto neįmanoma perskaityti
Žagarinė miegamasis,7,10,Isaac Asimov,The Complete Robot,EN,0.7,spine,,artimiausias K01767 (0.5) tamsiai violetinė nugarėlė; vidurinis pavadinimo žodis iš dalies uždengtas
Žagarinė miegamasis,7,11,,,,0.3,spine,,"neįskaitoma: plonas baltas didelio formato leidinys, pastatytas įstrižai; nugarėlės tekstas per smulkus"
Žagarinė miegamasis,7,12,,Žemaitė,LT,0.8,spine,,"senas drobinis įrišimas; ant nugarėlės tik pavardė „ŽEMAITĖ“, įspausta po vieną raidę su ornamentais"
Žagarinė miegamasis,7,18,Donovan,How to Deliver a TED Talk,EN,0.8,spine,,artimiausias K01877 (0.25) ant nugarėlės tik autoriaus pavardė
Žagarinė miegamasis,7,19,,,EN,0.3,spine,,neįskaitoma: alyvuogių spalvos nugarėlė; įskaitoma tik pavadinimo pabaiga „…acy“
Žagarinė miegamasis,7,20,,,,0.3,spine,,neįskaitoma: blyškiai kreminė nugarėlė be įskaitomo teksto
Žagarinė miegamasis,7,22,Niall Ferguson,The Great Degeneration,EN,0.9,spine,,artimiausias K00278 (0.44) paantraštė „How Institutions Decay and Economies Die“
Žagarinė miegamasis,7,23,,,,0.3,spine,,neįskaitoma: tamsiai raudona nugarėlė su balta bibliotekine etikete apačioje; tekstas neįskaitomas
Žagarinė miegamasis,7,25,Hermanas Melvilis,Mobis Dikas,LT,0.8,spine,,tamsiai pilkas drobinis įrišimas su juoda etikete
Žagarinė miegamasis,7,27,,Parque Nacional Los Glaciares,kita,0.4,spine,,"ispanų kalba; šviesiai mėlyna nugarėlė, įskaitomi tik žodžiai „NACIONAL“ ir „…ACIARES“, likusi dalis šešėlyje"
Žagarinė miegamasis,7,28,,MyGrammarLab,EN,0.8,spine,,artimiausias K00699 (0.4) guli horizontaliai po stovinčiomis knygomis; ant nugarėlės „Book + Online + Mobile“
Žagarinė miegamasis,7,29,,Perceptual Learning and Adaptation,EN,0.9,spine,,"artimiausias K00765 (0.29) serija „Penguin Modern Psychology Readings“, sudarytojas P. C. Dodwell; guli horizontaliai antroje eilėje"
Žagarinė miegamasis,7,30,Carlo Rovelli,The Order of Time,EN,0.9,spine,,artimiausias K00967 (0.44) guli horizontaliai antroje eilėje
Žagarinė miegamasis,7,32,"Tsugumi Ohba, Takeshi Obata",Death Note: Short Stories,EN,0.8,spine,,"artimiausias K00114 (0.5) guli horizontaliai antroje eilėje, nugarėlė apversta"
Žagarinė miegamasis,8,1,,Read with Oxford. Snoot's Big Bad Dream and other stories,EN,0.8,spine,,"artimiausias K00086 (0.29) žalia nugarėlė, pakopa 4"
Žagarinė miegamasis,8,2,,Trys nykštukai,LT,0.7,spine,,artimiausias K00871 (0.5) balta apdilusi nugarėlė
Žagarinė miegamasis,8,4,,,EN,0.3,spine,,"neįskaitoma: tamsiai mėlyna nugarėlė, matosi tik „OXFORD“; knyga uždengta"
Žagarinė miegamasis,8,6,,,,0.3,spine,,"neįskaitoma: šviesiai mėlyna knyga plėvelėje, teksto neįskaitoma"
Žagarinė miegamasis,8,7,,,LT,0.3,spine,,"neįskaitoma: geltona nugarėlė, matosi tik leidykla „baltos lankos“"
Žagarinė miegamasis,8,8,,,,0.3,spine,,"neįskaitoma: šviesiai žalia nugarėlė, pavadinimas uždengtas"
Žagarinė miegamasis,8,12,,,LT,0.3,spine,,"neįskaitoma: raudona ir balta nugarėlė; matosi leidyklos ženklas „LEKTŪRA“ ir žodis „Press“, pavadinimas neaiškus"
Žagarinė miegamasis,8,13,Regina Grabbet,Žaisdami mokomės,LT,0.7,spine,,balta nugarėlė; autorės pavardė neryški
Žagarinė miegamasis,8,14,,Didžioji spalvota žaidimų knyga,LT,0.9,spine,,artimiausias K01766 (0.5) šviesiai mėlyna nugarėlė su spalvotomis raidėmis
Žagarinė miegamasis,8,15,,,IT,0.3,spine,,"neįskaitoma: tamsiai mėlyna nugarėlė, matosi „… e le due lune“ (italų k.)"
Žagarinė miegamasis,9,2,,,,0.3,spine,,"neįskaitoma: juoda knyga tarp Pullmano ir japoniškos knygos; nugarėlė uždengta, teksto nesimato"
Žagarinė miegamasis,9,3,,10分で読める… 3年生,kita,0.4,spine,,"japonų kalba; balta nugarėlė, apačioje leidyklos ženklas; įskaitomi tik fragmentai „10分…読…“ ir „3年生“"
Žagarinė priepirtis,1,2,,,,0.3,spine,,"neįskaitoma: tamsi nugarėlė su auksiniais ir žalsvais ornamentais, beveik visiškai užstota pos 1 knygos"
Žagarinė priepirtis,1,10,,,,0.3,spine,,"neįskaitoma: juoda knyga, įstumta giliau tarp pos 9 ir pos 11; nugarėlė be matomo teksto"
Žagarinė priepirtis,1,11,,Išrinktasis. Blogio imperijos iškilimas,LT,0.8,spine,,artimiausias K00727 (0.4) autorius nugarėlėje nenurodytas
Žagarinė priepirtis,2,1,S. Lemas,Soliaris,LT,0.9,spine,,šviesi nugarėlė
Žagarinė priepirtis,2,7,,Atgimęs našliadirbys,LT,0.8,spine,,"serija SF, Nr. 487; autorius ant nugarėlės nematyti"
Žagarinė priepirtis,2,8,,Oberono ranka,LT,0.8,spine,,"serija F, Nr. 132; autorius ant nugarėlės nematyti"
Žagarinė priepirtis,2,9,,Avalono ginklai,LT,0.8,spine,,"serija F, Nr. 125; autorius ant nugarėlės nematyti"
Žagarinė priepirtis,2,10,,Charono žiedas,LT,0.8,spine,,"serija SF, Nr. 449; autorius ant nugarėlės nematyti"
Žagarinė priepirtis,2,11,,,LT,0.3,spine,,"neįskaitoma: tamsiai violetinė knyga, atsukta nugara į priekį — matyti tik anotacija geltonu šriftu, pavadinimo nematyti"
Žagarinė priepirtis,2,12,,Vyresni už mus,LT,0.8,spine,,serija SF; autorius ant nugarėlės nematyti
Žagarinė priepirtis,2,15,,Nosferatu,LT,0.8,spine,,serija SF; guli plokščiai; autorius ant nugarėlės nematyti
Žagarinė priepirtis,2,16,,Bėgimas į chaoso ištakas,LT,0.8,spine,,serija SF; guli plokščiai; autorius ant nugarėlės nematyti
Žagarinė priepirtis,2,17,Clifford D. Simak,Talismano brolija,LT,0.9,cover,Zagarine priepirtis 2_1.JPG,"artimiausias K00844 (0.33) serija „Pasaulinės fantastikos Aukso fondas“, Nr. 22; lentynos nuotraukoje neatpažįstama"
Žagarinė priepirtis,2,18,Aleksandras Diuma,Vikontas de Braželonas,LT,0.9,cover,Zagarine priepirtis 2_2.JPG,"serija „Drąsiųjų keliai“, Nr. 111; lentynos nuotraukoje neatpažįstama"
Žagarinė priepirtis,3,6,Stephen King,The Stand,EN,0.9,spine,,artimiausias K00092 (0.5) 
Žagarinė priepirtis,3,10,"E. Temkinas, V. Ermanas",Senovės Indijos mitai,LT,0.7,spine,,"artimiausias K00448 (0.4) geltona nugarėlė; autorių pavardės rašytiniu šriftu, sunkiai įskaitomos"
Žagarinė priepirtis,4,5,Kenneth Johnson,V: The Second Generation,EN,0.9,spine,,artimiausias K00092 (0.4) 
Žagarinė priepirtis,4,9,Ž. Simenonas,Pirmoji Megrė užduotis,LT,0.8,spine,,"artimiausias K01186 (0.4) tamsi drobinė nugarėlė, tekstas nublukęs"
Žagarinė priepirtis,4,11,Klifordas Donaldas Saimekas,Miestas,LT,0.9,cover,Zagarine priepirtis 4_1.JPG,artimiausias K00571 (0.5) serija „Zenitas“; viršelis apiplyšęs; lentynos nuotraukoje neatpažįstama
Žagarinė priepirtis,4,12,Vytautas Kazlauskas,Didysis poltergeistas. Berijos laboratorija,LT,0.9,cover,Zagarine priepirtis 4_2.JPG,artimiausias K00653 (0.29) lentynos nuotraukoje neatpažįstama
Žagarinė priepirtis,4,13,,Classic Devon Ghost Stories,EN,0.9,cover,Zagarine priepirtis 4_3.JPG,"artimiausias K00114 (0.25) rinkinys, autorius ant viršelio nenurodytas; lentynos nuotraukoje neatpažįstama"
Žagarinė priepirtis,4,14,Edgaras Volesas,Durys su septyniais užraktais,LT,0.9,cover,Zagarine priepirtis 4_4.JPG,artimiausias K00500 (0.29) serija „Detektyvas“; lentynos nuotraukoje neatpažįstama
Žagarinė priepirtis,4,15,Sir Arthur Conan Doyle,Sherlock Holmes: The Case of the Blue Diamond,EN,0.9,cover,Zagarine priepirtis 4_5.JPG,"artimiausias K00003 (0.36) adaptuotas skaitinys, serija „Dominoes one“; lentynos nuotraukoje neatpažįstama"
Žagarinė priepirtis,5,1,Stephenie Meyer,Saulėlydis,LT,0.9,spine,,nugarėlėje tik „MEYER“
Žagarinė priepirtis,5,2,Stephenie Meyer,Jaunatis,LT,0.9,spine,,nugarėlėje tik „MEYER“
Žagarinė priepirtis,5,3,Stephenie Meyer,Užtemimas,LT,0.9,spine,,nugarėlėje tik „MEYER“
Žagarinė priepirtis,5,4,Paula Hawkins,The Girl on the Train,EN,0.9,spine,,artimiausias K00003 (0.5) 
Žagarinė priepirtis,5,6,,Žvaigždžių karai,LT,0.6,spine,,artimiausias K01810 (0.5) tamsiai mėlyna nugarėlė su SF ženklu; autorius ir tomo pavadinimas nesimato
Žagarinė priepirtis,5,7,J. Semionovas,Septyniolika balandžio akimirkų,LT,0.8,spine,,sena apdilusi nugarėlė
Žagarinė priepirtis,5,9,"Tony DiTerlizzi, Holly Black",Spaiderviko kronikos,LT,0.7,spine,,"artimiausias K00537 (0.5) tamsi nugarėlė, „DITERLIZZI ir BLACK“"
Žagarinė priepirtis,5,12,,,EN,0.3,spine,,"neįskaitoma: plona žalia nugarėlė, matosi tik „OXFORD“ ir numeris 6 (tikėtina Oxford Bookworms)"
Žagarinė priepirtis,5,16,Janas Flemingas,Vyras su auksiniu pistoletu,LT,0.9,spine,,
Žagarinė priepirtis,6,1,,,,0.3,spine,,"neįskaitoma: didelio formato tamsiai mėlynas leidinys (albumas arba aplankas) kairiajame lentynos gale; ant viršelio įžvelgiami tik atskiri simboliai, teksto perskaityti neįmanoma"
Žagarinė priepirtis,6,2,,,,0.3,spine,,"neįskaitoma: apie 6 žurnalai kairėje: geltonos, baltos, tamsios ir mėlynos nugarėlės; nuotrauka neryški, užrašai neįskaitomi"
Žagarinė priepirtis,6,4,,National Geographic Lietuva,LT,0.6,spine,,"artimiausias K00770 (0.57) apie 35–40 numerių su geltonomis nugarėlėmis; įskaitomas tik leidinio pavadinimas, atskirų numerių datų ir temų perskaityti neįmanoma (nuotrauka neryški)"
Žagarinė priepirtis,6,5,,,,0.3,spine,,neįskaitoma: juoda knyga su nakties miesto nuotrauka ir balta juosta apačioje; matoma tik pavadinimo pabaiga „…OPAS“
Žagarinė priepirtis,6,6,,,,0.3,spine,,neįskaitoma: apie 5 tamsios ir oranžinės nugarėlės tarp National Geographic numerių; užrašai neįskaitomi
Žagarinė priepirtis,7,4,Džonas Faulzas,Juodmedžio bokštas,LT,0.6,cover,Zagarine priepirtis 7_2.JPG,artimiausias K00822 (0.33) greičiausiai tai antroje eilėje už Tolkieno tomų stovinti knyga — lentynos nuotraukoje matosi tik rusvas viršutinis kraštas
Žagarinė priepirtis,7,8,Michael Scott,Kerėtoja. Nemirtingojo Nikolo Flamelio paslaptys,LT,0.6,cover,Zagarine priepirtis 7_1.JPG,artimiausias K00777 (0.48) autoriaus vardas ant viršelio blankus; greičiausiai tai antroje eilėje už Garth Nix knygos stovinti knyga
Žagarinė priepirtis,7,11,,,,0.3,spine,,"neįskaitoma: raudonas spiraliniu rišimu įrištas didelio formato leidinys (sąsiuvinis ar albumas), pasviręs prie dešinės sienelės; užrašas neįskaitomas"
Žagarinė priepirtis,8,1,,,,0.3,spine,,neįskaitoma: plona raudona nugarėlė su balta apskrita emblema apačioje; tekstas neįskaitomas (nuotrauka neryški)
Žagarinė priepirtis,8,2,,,,0.3,spine,,neįskaitoma: plona šviesiai mėlyna nugarėlė; tekstas neįskaitomas
Žagarinė priepirtis,8,3,,,,0.3,spine,,neįskaitoma: žema oranžinė-geltona knyga priekinėje eilėje; tekstas neįskaitomas
Žagarinė priepirtis,8,4,,,,0.3,spine,,neįskaitoma: antra žema oranžinė-geltona knyga šalia; tekstas neįskaitomas
Žagarinė priepirtis,8,5,,,,0.3,spine,,neįskaitoma: tamsi (juoda–žalsva) nugarėlė su gelsva apskrita emblema viršuje; tekstas neįskaitomas
Žagarinė priepirtis,8,6,,,,0.3,spine,,neįskaitoma: tamsiai mėlyna nugarėlė su balta juosta per vidurį; tekstas neįskaitomas
Žagarinė priepirtis,8,7,,,,0.3,spine,,neįskaitoma: plona kreminė nugarėlė su tamsiu tekstu; neįskaitoma
Žagarinė priepirtis,8,8,,,,0.3,spine,,neįskaitoma: aukšta šviesiai žalia nugarėlė su spalvotu apskritimu viršuje; tekstas neįskaitomas
Žagarinė priepirtis,8,9,,,,0.3,spine,,neįskaitoma: kreminė nugarėlė su apskrita emblema viršuje; tekstas neįskaitomas
Žagarinė priepirtis,8,10,,,,0.3,spine,,neįskaitoma: mėlyna nugarėlė su džinsinio audinio raštu; tekstas neįskaitomas
Žagarinė priepirtis,8,11,,,,0.3,spine,,neįskaitoma: tamsi nugarėlė su raudonu akcentu; tekstas neįskaitomas
Žagarinė priepirtis,8,14,,,,0.3,spine,,neįskaitoma: tamsiai raudona knyga gilumoje už priekinės eilės; matosi tik kraštas
Žagarinė priepirtis,8,15,Džanis Rodaris,Čipolino nuotykiai,LT,0.6,cover,Zagarine priepirtis 8_1.JPG,"artimiausias K00855 (0.4) sena nudėvėta knyga; lentynoje greičiausiai kreminė nugarėlė be teksto prieš oranžinę knygą, bet dėl neryškumo sutapatinta tik spėjamai"
Žagarinė priepirtis,8,16,Markas Tvenas,Princas ir elgeta,LT,0.6,cover,Zagarine priepirtis 8_2.JPG,artimiausias K00838 (0.33) sena knyga oranžiniu drobiniu nugarėlės audiniu; atitinka dešiniausią pasvirusią oranžinę lentynos knygą
Žagarinė priepirtis,9,8,Rafael Ábalos,Grimpou,LT,0.9,spine,,
Žagarinė priepirtis,9,9,A. Vasilevskis,Chiromantija,LT,0.9,cover,Zagarine priepirtis 9_1.JPG,"maža nudėvėta brošiūra; ant viršelio „A. Vasilevskis, chiromantas-grafologas“; lentynos nuotraukoje tarp nugarėlių neatpažįstama, vietos numeris sąlyginis"
Žagarinė priepirtis,10,3,J. R. R. Tolkien,Žiedų valdovas,LT,0.8,spine,,balta nugarėlė su ornamentuotu aplanku
Žagarinė priepirtis,10,5,Nik Perumov,Elfų durklas,LT,0.8,spine,,artimiausias K00805 (0.5) tamsiai raudona nugarėlė su auksiniais ornamentais
Žagarinė priepirtis,11,2,,,,0.3,spine,,neįskaitoma: šviesi knyga su oranžine/rusva juosta ir baltu tekstu — neįskaitoma (nuotrauka neryški)
Žagarinė priepirtis,11,3,,H2O,,0.4,spine,,"juoda nugarėlė su žaliomis raidėmis, skaitoma kaip „H2O“"
Žagarinė priepirtis,11,4,,,,0.3,spine,,neįskaitoma: tamsiai mėlyna nugarėlė su raudonu piešiniu — teksto neįskaitoma
Žagarinė priepirtis,11,5,,,,0.3,spine,,"neįskaitoma: pilkai balta plona knygelė, be įskaitomo teksto"
Žagarinė priepirtis,11,6,,,,0.3,spine,,"neįskaitoma: žalsva plona knyga/žurnalas, pakrypusi, teksto neįskaitoma"
Žagarinė priepirtis,11,7,,,,0.3,spine,,"neįskaitoma: žalsva plona knyga/žurnalas, pakrypusi, teksto neįskaitoma"
Žagarinė priepirtis,11,8,,,,0.3,spine,,"neįskaitoma: žalsva plona knyga/žurnalas, pakrypusi, teksto neįskaitoma"
Žagarinė priepirtis,11,9,,,,0.3,spine,,"neįskaitoma: tamsiai žalia plona knyga/žurnalas, teksto neįskaitoma"
Žagarinė priepirtis,11,10,,,,0.3,spine,,"neįskaitoma: tamsi plona knyga/žurnalas, teksto neįskaitoma"
Žagarinė priepirtis,11,11,,,,0.3,spine,,"neįskaitoma: tamsi plona knyga/žurnalas, teksto neįskaitoma"
Žagarinė priepirtis,11,13,,,,0.3,spine,,"neįskaitoma: plona juoda nugarėlė su taškų eile, be įskaitomo teksto"
Žagarinė priepirtis,11,14,,,,0.3,spine,,"neįskaitoma: plona balta knygelė, be įskaitomo teksto"
Žagarinė priepirtis,11,15,,,,0.3,spine,,"neįskaitoma: antra plona balta knygelė, be įskaitomo teksto"
Žagarinė priepirtis,13,9,,Marius Pietaris ir juodasis bokštas,LT,0.9,spine,,artimiausias K01240 (0.33) 2 knyga; ant nugarėlės monograma „MP“; autorius ant nugarėlės nenurodytas
Žagarinė priepirtis,13,10,,,LT,0.3,spine,,"neįskaitoma: plona iliustruota knyga, įstumta už kitų; matyti tik dalis galinio viršelio su gamtos nuotraukomis, pavadinimo neįskaityti"
Žagarinė priepirtis,14,2,,,,0.3,spine,,"neįskaitoma: didelio formato leidinys, gulintis ant „Fleitos pradžiamokslio“; matyti tik žalsvai mėlyna iliustracija, teksto nėra"
Žagarinė priepirtis,14,3,,,,0.3,spine,,"neįskaitoma: kreminė (gelsva) knyga su pieštu viršeliu, guli viršuje; pavadinimo nematyti"
Žagarinė priepirtis,14,4,,,,0.3,spine,,"neįskaitoma: didelio formato spalvota (žalia–geltona–raudona) knyga, atsukta galiniu viršeliu; matyti tik brūkšninis kodas"
Žagarinė priepirtis,14,5,Brussolo,Pegė Siu ir fantomai,LT,0.8,spine,,pavadinimas nugarėlėje rašytiniu šriftu
Žagarinė priepirtis,15,3,J. K. Rowling,Harry Potter and the Half-Blood Prince,EN,0.9,spine,,artimiausias K00393 (0.31) 
Žagarinė priepirtis,16,1,,,,0.3,spine,,"neįskaitoma: smėlio spalvos suplyšusi knyga kairiajame krašte, pasvirusi prie spintos šono; nugarėlė be matomo teksto"
Žagarinė priepirtis,16,4,Gotfrydas Augustas Biurgeris,Baronas Miunhauzenas,LT,0.8,spine,,"pavadinimas rašytiniu šriftu, sunkiai įskaitomas"
Žagarinė priepirtis,16,8,,Bokšto gynimas,LT,0.8,spine,,rusva nugarėlė; autorius ant nugarėlės nematyti
Žagarinė priepirtis,16,9,,,,0.3,spine,,neįskaitoma: lygi smėlinė nugarėlė be teksto
Žagarinė priepirtis,16,13,,,,0.3,spine,,"neįskaitoma: spalvotai iliustruota knyga, pasvirusi tarp kitų; ant nugarėlės teksto nėra"
Žagarinė priepirtis,16,17,Jonas Biliūnas,Kūdikystės sapnai,LT,0.9,spine,,
Žagarinė priepirtis,16,19,,Mažoji muzikos istorija,LT,0.7,spine,,"artimiausias K00412 (0.4) pilkšvai žalia drobinė nugarėlė, tekstas nublukęs; autoriaus nematyti"
Žagarinė priepirtis,16,20,,,,0.3,spine,,"neįskaitoma: labai susidėvėjusi rusva drobinė knyga, nugarėlė be teksto"
Žagarinė priepirtis,16,22,V. Giedra,Murklys ieško šeimininko,LT,0.9,cover,Zagarine priepirtis 16_1.JPG,labai susidėvėjęs oranžinis viršelis; lentynos nuotraukoje neatpažįstama
Žagarinė priepirtis,17,2,,,,0.3,spine,,"neįskaitoma: plona pilkšvai balta knygelė, pakrypusi į priekį, teksto nematyti"
Žagarinė priepirtis,17,3,,,,0.3,spine,,"neįskaitoma: užpakalinė eilė: kreminis viršelis su juodu grafišku piešiniu (šakos), teksto nematyti"
Žagarinė priepirtis,17,5,,Edvardas Didysis ir Tedis Mažasis. Skaičiai,LT,0.9,spine,,"artimiausias K00874 (0.33) raudona nugarėlė, knyga aukštyn kojomis"
Žagarinė priepirtis,17,8,,,,0.3,spine,,"neįskaitoma: pilkšvai žalsva nugarėlė su labai smulkiu tekstu viršuje, neįskaitoma"
Žagarinė priepirtis,17,11,,,,0.3,spine,,"neįskaitoma: užpakalinė eilė: žalia kietais viršeliais knyga, teksto nematyti"
Žagarinė priepirtis,17,13,Pamela Travers,Merė Popins Vyšnių gatvelėje ir kaimyninis namas,LT,0.9,spine,,storas raudonas tomas
Žagarinė priepirtis,17,18,,,,0.3,spine,,"neįskaitoma: labai plona, suplyšusi šviesi knygelė su mėlynu ženklu viršuje, teksto neįskaityti"
Žagarinė priepirtis,17,20,Astrid Lindgren,Didysis seklys Bliumkvistas,LT,0.9,spine,,"artimiausias K00653 (0.33) juoda nugarėlė, autorės pavardė raudonoje juostoje apačioje"
Žagarinė priepirtis,17,24,,,LT,0.3,spine,,"neįskaitoma: juoda nugarėlė su įspaustomis raidėmis, įskaitoma tik apytikriai „DEIVĖ LAIMĖS LEM…“"
Žagarinė priepirtis,17,25,,,,0.3,spine,,neįskaitoma: žalias drobinis viršelis be matomo teksto nugarėlėje
Žagarinė priepirtis,18,1,,,LT,0.3,spine,,neįskaitoma: mėlyna nugarėlė su užrašu „Walt Disney“; pavadinimo ant nugarėlės nėra
Žagarinė priepirtis,18,5,,,,0.3,spine,,neįskaitoma: raudona knyga su rašytiniu užrašu ant viršelio; nugarėlė uždengta priekinėmis knygomis
Žagarinė priepirtis,18,6,,,,0.3,spine,,neįskaitoma: gelsvai ruda iliustruota vaikiška knyga; nugarėlės teksto nematyti
Žagarinė priepirtis,18,9,Joachim Friedrich,4 ½ draugo,LT,0.4,spine,,"gelsvai žalia nugarėlė; matoma serijos antraštė „4 ½ draugo“, konkreti dalies antraštė uždengta"
Žagarinė priepirtis,18,10,,Įtartinai kvepiantys pinigai ir šuolis į kosmosą,LT,0.8,spine,,serija „Donaldas ir kiti“; juoda nugarėlė
Žagarinė priepirtis,18,11,,Neįmanomas nusikaltimas ir dieviška galia,LT,0.8,spine,,artimiausias K00556 (0.29) serija „Donaldas ir kiti“; raudona nugarėlė
Žagarinė priepirtis,18,12,,Karas su šparagais ir krištolinis katinas,LT,0.8,spine,,artimiausias K01593 (0.2) serija „Donaldas ir kiti“; mėlyna nugarėlė
Žagarinė priepirtis,18,13,,XXI amžiaus piratai ir pasakiški Mangaloro maharadžos turtai,LT,0.8,spine,,artimiausias K00454 (0.2) serija „Donaldas ir kiti“; mėlyna nugarėlė
Žagarinė priepirtis,18,15,,Ankstyvojo ugdymo vadovas. Vaikas iki trejų metų,LT,0.9,spine,,artimiausias K01491 (0.25) antras iš dviejų vienodų egzempliorių
Žagarinė priepirtis,18,16,,Star Wars. Klonų puolimas,LT,0.8,spine,,nugarėlėje prierašas „Pagal filmą «Žvaigždžių karai»“
Žagarinė priepirtis,18,17,,,,0.3,spine,,neįskaitoma: plonas pilkas leidinys / sąsiuvinis be užrašų
Žagarinė priepirtis,18,18,,,,0.3,spine,,neįskaitoma: plonas pilkas leidinys / sąsiuvinis be užrašų
Žagarinė priepirtis,18,19,,,,0.3,spine,,neįskaitoma: plonas pilkas leidinys / sąsiuvinis be užrašų
Žagarinė priepirtis,18,24,,,,0.3,spine,,neįskaitoma: plona geltona nugarėlė be teksto
Žagarinė priepirtis,18,25,,,,0.3,spine,,neįskaitoma: plona tamsiai pilka nugarėlė be teksto
Žagarinė priepirtis,18,28,"Wells, Jeffers",Lesė grįžta,LT,0.9,spine,,antras iš dviejų vienodų egzempliorių
Žagarinė salonas,1,6,Sergejus Jovaiša,Krepšinio aistrų sūkury,LT,0.9,spine,,artimiausias K01637 (0.55) tamsiai ruda nugarėlė
Žagarinė salonas,2,10,,,,0.3,spine,,"neįskaitoma: už juodosios knygos pasvirusi kreminė / balta knyga, nugarėlė nematoma"
Žagarinė salonas,3,2,Мераб Мамардашвили,Как я понимаю философию,RU,0.9,spine,,"pilka nugarėlė, knyga aplenkta permatoma plėvele"
Žagarinė salonas,3,4,I. Kantas,Grynojo proto kritika,LT,0.9,spine,,juoda nugarėlė su pelėdos emblema
Žagarinė salonas,5,9,Juozas Erlickas,Prisimynimai,LT,0.9,spine,,rudas viršelis su akimi; raidė „y“ raudona
Žagarinė salonas,5,11,Raimondas Kašauskas,Gerumo kaina,LT,0.9,cover,Zagarine Salonas 5_1.JPG,lentynos nuotraukoje neatpažinta
Žagarinė salonas,5,12,A. Pabijūnas,Skersvėjai,LT,0.9,cover,Zagarine Salonas 5_2.JPG,senas vyšninis viršelis; lentynos nuotraukoje neatpažinta
Žagarinė salonas,5,13,Sigitas Geda,Strazdas,LT,0.9,cover,Zagarine Salonas 5_3.JPG,lentynos nuotraukoje neatpažinta
Žagarinė salonas,5,14,Salomėja Nėris,Poezija,LT,0.8,cover,Zagarine Salonas 5_4.JPG,"artimiausias K00595 (0.33) antraštinis lapas, I tomas; leidimo metai neįskaitomi (Vilnius, ~195x)"
Žagarinė salonas,5,15,Janina Degutytė,Purpuru atsivėrusi,LT,0.9,cover,Zagarine Salonas 5_5.JPG,lentynos nuotraukoje neatpažinta
Žagarinė salonas,5,16,Anzelmas Katkus,Studentiškos poringės,LT,0.9,cover,Zagarine Salonas 5_6.JPG,žalsvas viršelis su medžio raižiniu
