Patalpa,Lentyna,Pozicija,Pastaba
Žagarinė salonas,2,10,"neįskaitoma: už juodosios knygos pasvirusi kreminė / balta knyga, nugarėlė nematoma"
Žagarinė salonas,7,3,neįskaitoma: už Maldonio ir „Malarstwo polskie“ įstumta knyga tamsiai rudu viršeliu; matosi tik viršutinis kraštas
Žagarinė salonas,7,5,neįskaitoma: už kitų knygų įstumta knyga spalvotu (tapybos reprodukcijos) viršeliu; nugarėlės nesimato
Žagarinė salonas,8,3,neįskaitoma: siaura balta nugarėlė be jokio teksto
Žagarinė salonas,8,5,"neįskaitoma: sena knyga suplėšytu popieriniu aplanku, gotikinis šriftas; įskaitomi tik fragmentai „v. Pe…“, „Lietu…“"
Žagarinė salonas,8,19,neįskaitoma: didesnė balta knyga antroje eilėje už „Paganinio“ — matosi tik viršutinis kraštas
Žagarinė salonas,8,31,neįskaitoma: sena nudėvėta knyga rusva suplyšusia nugarėle be teksto
Žagarinė salonas,9,12,neįskaitoma: pakrypusi kreminė (gelsva) knyga be jokio teksto ant nugarėlės
Žagarinė salonas,10,12,"neįskaitoma: šviesiai rusva popierinė nugarėlė, gotiškas baltas šriftas, nuotraukoje neryški; viršuje autoriaus inicialas su pavarde, žemiau trys eilutės ir metai — neįskaitoma"
Žagarinė salonas,11,6,"neįskaitoma: antroje eilėje už priekinių knygų; matosi tik geltonas viršutinis kraštas, nugarėlės nesimato"
Žagarinė salonas,11,7,"neįskaitoma: antroje eilėje; matosi tik rudas viršutinis kraštas, nugarėlės nesimato"
Žagarinė salonas,11,8,neįskaitoma: šviesiai violetinė (alyvinė) nugarėlė be matomo teksto
Žagarinė salonas,12,2,"neįskaitoma: už „Polska“ pasviręs tomas, matyti tik viršelio fotografija (jūra / sniegas, mėlynas dangus); teksto nesimato"
Žagarinė salonas,12,3,"neįskaitoma: raudona nugarėlė su smulkiu sąrašu „Karpaty, Wyżyny, Sudety, Niziny, Niziny, Pobrzeża“ ir didele auksine raide; pavadinimas užstotas. Gali būti ta pati knyga kaip pos 2"
Žagarinė salonas,12,31,"neįskaitoma: ant „Кто вы, юкагиры?“ uždėta kita knyga: baltas viršelis su geltonu uolų piešinių (petroglifų) langeliu ir juostele „Издательство Наука“; pavadinimas neįskaitomas"
Žagarinė salonas,13,24,"neįskaitoma: nufotografuotas tik turinio lapas — poezijos antologija, 14 autorių: Vaida Blažytė, Marius Burokas, Jurgita Butkytė, Tomas S. Butkus, Laura Sintija Černiauskaitė, Viktorija Ivanova, Giedrė Kazlauskaitė, Gabrielė Klimaitė, Rimantas Kmita, Donatas Petrošius, Aistė Ptakauskaitė, Tomas Staniulis, Indrė Valantinaitė, Agnė Žagrakalytė; pavadinimo nematyti"
Žagarinė salonas,14,3,"neįskaitoma: knyga guli už kitų, priekiu į kadrą; matoma tik tamsiai žalsva viršelio dalis su geltona juosta („Nauji 10…“) ir didelėmis tamsiomis raidėmis „DD…“ — tikėtina dar vienas „Protų dvikovos“ tomas"
Žagarinė salonas,14,8,"neįskaitoma: knyga įstrižai už kitų; matomas tik aplanko kraštas — oranžinis apačioje, iliustracija su rudais medžiais geltonai žaliame fone; nugarėlės teksto nesimato"
Žagarinė salonas,15,18,neįskaitoma: į gilumą įstumta knyga; ant viršelio Stalino nuotrauka ir tekstas „…вики … бы взя…“; nugarėlė neįskaitoma
Žagarinė salonas,15,26,"neįskaitoma: neryški antraštinio lapo nuotrauka; įskaitoma tik „…Россия — М.: ОЛМА-ПРЕСС, 2007. — 382 с.“"
Žagarinė salonas,16,20,"neįskaitoma: knyga stovi už eilės; matomas tik apiplyšęs alyvinės–rusvos spalvos nugarėlės viršus, teksto neįskaityti"
Žagarinė salonas,18,1,"neįskaitoma: kairiausia knyga atsukta galiniu viršeliu; matosi „RŪTA G…“ ir maža nuotrauka, pavadinimas neįskaitomas"
Žagarinė salonas,18,27,neįskaitoma: plona mėlyna nugarėlė be matomo teksto
Žagarinė salonas,18,31,"neįskaitoma: plona balta nugarėlė su raudonomis raidėmis, panašu į „H. KARDEL“; pavadinimo nematyti"
Žagarinė salonas,19,2,"neįskaitoma: juoda knyga, įstumta giliau už Guderiano tomo; ant nugarėlės teksto nematyti"
Žagarinė salonas,19,13,neįskaitoma: už Descartes'o pasvirusi šviesi knyga su akies atvaizdu viršelyje ir raudona skirtuko juostele; nugarėlės nematyti
Žagarinė salonas,19,16,"neįskaitoma: antra japoniška knyga už pos 15, gulinti / pasvirusi; matomi tik raudoni hieroglifai „...神話“ ir geltonas lipnus lapelis"
Žagarinė salonas,20,1,neįskaitoma: kairiosios krūvos viršuje gulinti pilkai tamsi kieto viršelio knyga su spalvotais lapų kraštais (skirtukais); nugarėlė nematoma
Žagarinė salonas,20,5,neįskaitoma: už kairiosios krūvos gulintis blizgus leidinys su aviacijos nuotrauka viršelyje; užrašų nematyti
Žagarinė salonas,20,11,neįskaitoma: žalsvai pilka nugarėlė su raudonu „TUTTLE“ ženkleliu; pavadinimas užstotas kitų knygų
Žagarinė salonas,20,12,neįskaitoma: juoda nugarėlė su vertikaliais japoniškais hieroglifais; įskaityti neįmanoma
Žagarinė salonas,21,3,"neįskaitoma: kreminė nugarėlė su rudu tekstu; įskaitomi tik fragmentai („…mokslinio tyrimas…“, „…ultūra“), apačioje numeris 2"
Žagarinė salonas,21,5,"neįskaitoma: balta nugarėlė su rudu piešiniu, teksto nesimato"
Žagarinė salonas,21,7,neįskaitoma: balta nugarėlė su raudonu užrašu; matyti tik pradžia „TIKSLIA…“
Žagarinė salonas,21,14,"neįskaitoma: plonas kreminis leidinys (sąsiuvinis ar aplankas), atremtas dešiniajame eilės gale; jokio teksto nematyti"
Žagarinė salonas,23,1,neįskaitoma: kairiajame lentynos gale pakrypęs didelio formato leidinys geltonais lapais ir baltu viršeliu (katalogas ar brošiūra); nugarėlės nesimato
Žagarinė salonas,23,4,"neįskaitoma: raudona knyga su auksiniu ornamentu, beveik visiškai užstota kaimynų; matyti tik nugarėlės viršus"
Žagarinė salonas,24,5,"neįskaitoma: ryškiai geltona nugarėlė, ranka rašytas rusiškas užrašas — įskaitoma tik „ПУТЬ К … ВРАТАМ“"
Žagarinė salonas,24,25,"neįskaitoma: tamsi knyga už Burrow, pakrypusi; matyti tik viršelis su ikonų reprodukcijomis, teksto nesimato"
Žagarinė salonas,25,27,"neįskaitoma: už priekinės eilės, prie pos 26, kyšo dar vienos knygos pilkšvai žalsvas viršutinis kraštas; jokio teksto nematyti"
Žagarinė salonas,26,17,"neįskaitoma: plona šviesi knyga, įstumta giliai už „Educated“; matosi tik siauras nugarėlės ruoželis su smulkiu tekstu"
Žagarinė salonas,26,24,neįskaitoma: knyga atsukta lapų pjūviu į priekį (nugarėlė gilumoje); matosi tik lietuviško teksto nuotrupos
Žagarinė salonas,27,1,"neįskaitoma: Didelis raudonas drobinis foliantas su auksuotu parapijų sąrašu nugarėlėje: PLUNGĖ, KULIAI, STALGĖNAI, PAKUTUVĖNAI, RIETAVAS, TVERAI, KANTAUČIAI, LIEPLAUKĖ, MEDINGĖNAI, ŽLIBINAI, PLATELIAI, BERŽORAS, GINTALIŠKĖ, ŠATEIKIAI, ŽEM. KALVARIJA, GEGRĖNAI. Ant viršelio įspausta „...DEANERY“ ir „...DAIL...“ — greičiausiai „Lietuvos sakralinė dailė“ serijos Plungės dekanato tomas, bet pavadinimo nuotraukoje nematyti"
Žagarinė salonas,27,12,"neįskaitoma: Už „Rygiškių Jono“ stovinti rusvo viršelio knyga — matyti tik viršutinė briauna, nugarėlės nesimato. Gali būti ta pati, kuri nufotografuota kaip viršelis 27_28 (J. Jablonskis „Rinktiniai raštai“)"
Žagarinė salonas,27,15,neįskaitoma: Tamsiai ruda kietų viršelių knyga (galbūt albumas ar dėklas) antroje eilėje už „Trijų dešimčių metų“; teksto nematyti
Žagarinė salonas,27,16,"neįskaitoma: Didelio formato pakrypusi knyga: viena pusė žalia su geltona įstriža juosta ir baltais žiedais (vaikiška iliustracija), kita — tamsiai žalsva nuotrauka su pienės pūku; nei pavadinimo, nei nugarėlės nesimato"
Žagarinė salonas,27,27,"neįskaitoma: Spirale įrišta knyga (šviesiai melsvi viršeliai), nugarėlės teksto nėra"
Žagarinė salonas,27,28,neįskaitoma: Stora tamsiai mėlyna kietų viršelių knyga; nugarėlė be teksto
Žagarinė salonas,28,24,"neįskaitoma: didelė tamsiai ruda knyga, atremta į lentynos galą; nugarėlė be matomo teksto"
Žagarinė salonas,29,25,"neįskaitoma: storoka kreminė knyga, gulinti horizontaliai po Oscar Wilde tomu; nugarėlės nesimato"
Žagarinė salonas,30,13,"neįskaitoma: kreminė nugarėlė, apačioje tik leidyklos pavadinimas; viršelyje XIX a. vyro portretas; pavadinimas neįskaitomas"
Žagarinė salonas,30,16,"neįskaitoma: Livre de Poche Nr. 15264; nugarėlės tekstas nublukęs, neįskaitomas"
Žagarinė salonas,31,5,"neįskaitoma: pilkai melsvas drobinis viršelis, nugarėlė be jokio teksto"
Žagarinė salonas,31,6,neįskaitoma: antroje eilėje už priekinių knygų; matosi tik tamsiai raudonas viršutinis kraštas
Žagarinė salonas,31,7,neįskaitoma: antroje eilėje; matosi tik kreminis viršutinis kraštas
Žagarinė salonas,31,16,neįskaitoma: antroje eilėje; matosi tik spalvota viršelio iliustracija virš priekinių knygų
Žagarinė salonas,31,30,neįskaitoma: antroje eilėje; matosi tik tamsi viršelio iliustracija su raudonu audiniu
Žagarinė salonas,31,32,"neįskaitoma: antroje eilėje; viršelyje moteris su skrybėle, teksto nesimato"
Žagarinė salonas,33,15,neįskaitoma: žalsvai melsva nugarėlė su balta juosta; matosi tik leidyklos ženklas „marixverlag“
Žagarinė salonas,33,18,"neįskaitoma: labai plona balta nugarėlė, pakrypusi, teksto nesimato"
Žagarinė salonas,34,16,"neįskaitoma: kreminis tomas su juoda etikete, etiketė nutrupėjusi — tekstas neįskaitomas"
Žagarinė salonas,34,22,neįskaitoma: stora balta nugarėlė be jokio teksto
Žagarinė salonas,34,23,"neįskaitoma: gelsvai smėlinė nugarėlė, tekstas visiškai nublukęs"
Žagarinė salonas,35,3,"neįskaitoma: juoda knyga, įstumta už priekinės eilės; matosi tik viršutinis kraštas"
Žagarinė salonas,35,14,neįskaitoma: plona knyga gilumoje tarp „100 gražiausių pasaulio aikščių“ ir „Pasaulio valdovų rūmai“; matosi tik marmurinis lapų pjūvis
Žagarinė salonas,35,21,"neįskaitoma: plona tamsiai mėlyna nugarėlė be matomo teksto, tarp rusiško vadovo ir „Šešeri metai Saigone“"
Žagarinė salonas,35,27,neįskaitoma: persikinės spalvos nugarėlė be matomo teksto
Žagarinė salonas,35,32,neįskaitoma: žalsvai mėlyna nugarėlė; matomas tik fragmentas „…TAS STATINIS“ ir vardas „Saulius…“
Žagarinė salonas,35,33,"neįskaitoma: mėlyna nugarėlė, rausvos raidės; matomas fragmentas „…EZIJOS SALOS“ (galbūt „Indonezijos salos“ arba „Polinezijos salos“)"
Žagarinė salonas,35,35,"neįskaitoma: didelė tamsi knyga su ornamentuotu (rytietišku) viršeliu, pastatyta už eilės; nugarėlės nesimato"
Žagarinė salonas,35,36,"neįskaitoma: raudona ir tamsiai mėlyna knyga dešiniajame kadro krašte, beveik visiškai nukirsta"
Žagarinė salonas,36,4,neįskaitoma: plonas šviesus leidinys be įskaitomo teksto ant nugarėlės; viršelio nuotrauka „Zagarine Salonas 36_4.JPG“ partijoje nepateikta
Žagarinė salonas,37,6,"neįskaitoma: tamsi knyga už priekinės eilės, matosi tik „Meni…“ ir „…Poškus“ — tikėtina to paties leidinio dublikatas"
Žagarinė salonas,37,13,neįskaitoma: plona juoda nugarėlė be įskaitomo teksto
Žagarinė salonas,37,17,neįskaitoma: plona pilkai balta knyga/katalogas be įskaitomo teksto
Žagarinė salonas,38,1,"neįskaitoma: stora knyga oranžiniu popieriniu aplanku, ant nugarėlės jokio teksto; aplankas nuplyšęs"
Žagarinė salonas,38,2,"neįskaitoma: rusvai bordinis tomas prie galinės sienelės, nugarėlė nematoma"
Žagarinė salonas,38,7,"neįskaitoma: tamsiai žalias įrišimas, ant nugarėlės teksto nematyti"
Žagarinė salonas,38,8,neįskaitoma: baltas plastikine spirale įrištas segtuvas be užrašų
Žagarinė salonas,38,32,"neįskaitoma: antroji eilė už pos 25–26: pilkšva didelio formato knyga, nugarėlė atsukta į sieną"
Žagarinė salonas,38,33,"neįskaitoma: antroji eilė už pos 27: kreminė knyga, matyti tik apversto lietuviško pavadinimo galas „…paslaptys“"
Žagarinė salonas,38,34,neįskaitoma: antroji eilė už pos 27–28: juoda didelio formato knyga
Žagarinė salonas,38,35,neįskaitoma: antroji eilė už pos 28–29: tamsiai pilka didelio formato knyga
Žagarinė salonas,39,1,"neįskaitoma: šviesiai mėlyna knyga kairiajame krašte, nuotraukos rėmo nukirsta; matyti tik leidyklos ženklas"
Žagarinė salonas,39,12,"neįskaitoma: plona alyvuogių spalvos knyga, nugarėlė be teksto"
Žagarinė salonas,39,20,neįskaitoma: tamsiai pilka knyga su sidabrinėmis ornamentinėmis juostomis; įskaitoma tik dalis užrašo „BRUCKE“
Žagarinė salonas,39,25,neįskaitoma: pilka knyga su tapybos reprodukcija ant nugarėlės; apačioje neaiškus užrašas
Žagarinė salonas,39,32,neįskaitoma: tamsi marmuruota nugarėlė be įskaitomo teksto
Žagarinė salonas,39,34,neįskaitoma: pilka nugarėlė; įskaitoma tik „…kas · Susitikimas su …“
Žagarinė salonas,39,39,"neįskaitoma: juoda dėklo/aplanko formos knyga antroje eilėje, be matomo teksto"
Žagarinė salonas,39,44,"neįskaitoma: rausvai balta knyga už Lonely Planet leidinio, matosi tik kraštas"
Žagarinė salonas,39,49,"neįskaitoma: oranžinė knyga su žemėlapio raštu, ant nugarėlės teksto nesimato"
Žagarinė salonas,39,51,"neįskaitoma: tamsi knyga be matomo teksto, šalia Citadelės"
Žagarinė salonas,40,3,"neįskaitoma: plona pageltusi knyga suplyšusia nugarėle, teksto nematyti"
Žagarinė salonas,40,4,"neįskaitoma: užpakalinė eilė, virš Čiurlionio nugarėlės matyti tik pilkšvo viršelio kraštas su raidėmis „LIE…“"
Žagarinė salonas,40,12,"neįskaitoma: plonas baltas leidinys su juodu grafikos raštu nugarėlėje, teksto nėra"
Žagarinė salonas,40,20,"neįskaitoma: užpakalinė eilė: tamsi (juoda ar tamsiai pilka) knyga, matyti tik viršutinis kraštas"
Žagarinė salonas,40,21,"neįskaitoma: užpakalinė eilė: plonas raudonas leidinys su hieroglifais (kinų ar japonų), pavadinimas neįskaitomas"
Žagarinė salonas,43,1,"neįskaitoma: žalsva knyga kairiajame kadro krašte, beveik visiškai nukirsta"
Žagarinė salonas,43,13,neįskaitoma: žydras spiraliniu (vielos) įrišimu leidinys be matomo teksto — greičiausiai albumas arba sąsiuvinis
Žagarinė salonas,43,31,neįskaitoma: plonas leidinys su tamsia gamtos nuotrauka nugarėlėje; teksto nematyti
Žagarinė salonas,43,32,neįskaitoma: plona kreminė brošiūra be matomo teksto
Žagarinė salonas,43,33,neįskaitoma: antra plona kreminė brošiūra; nugarėlėje raudonų raidžių nuotrupos
Žagarinė salonas,43,34,neįskaitoma: mėlynas leidinys su žemėlapiu ant viršelio (turizmo žemėlapis arba vadovas)
Žagarinė salonas,43,35,neįskaitoma: baltas plonas leidinys — paskutinis dešinėje prie lentynos šono
Žagarinė salonas,43,37,"neįskaitoma: juoda knyga (arba dėžutė) su raudona juosta ir brūkšninio kodo lipduku, padėta galinėje eilėje už „Tūkstantmečio pranašysčių“"
Žagarinė salonas,43,38,neįskaitoma: sidabriniu plastiku apvyniota knyga galinėje eilėje ties „Kretinga“; užrašų nematyti
Žagarinė salonas,44,2,"neįskaitoma: kreminė knyga, atsukta lapų pjūviu į priekį; teksto nematyti"
Žagarinė salonas,44,28,"neįskaitoma: alyvinė knyga dešiniajame krašte, atsukta be nugarėlės teksto"
Žagarinė salonas,45,1,"neįskaitoma: plona juoda knyga prie kairės sienelės, nugarėlė be matomo teksto"
Žagarinė salonas,45,3,"neįskaitoma: tamsi ruda nugarėlė, beveik visiškai užstota; matyti tik viena šviesi raidė"
Žagarinė salonas,45,7,"neįskaitoma: kreminė nugarėlė su nuotrauka, teksto nesimato"
Žagarinė salonas,45,31,"neįskaitoma: knyga su fotografija ant viršelio, stovi giliau už pos 32; nugarėlės nematyti"
Žagarinė salonas,45,34,"neįskaitoma: didelio formato knyga su kraštovaizdžio nuotrauka, pasvirusi prie dešinės sienelės, atsukta viršeliu; teksto nematyti"
Žagarinė salonas,45,36,"neįskaitoma: baltas plonas leidinys (galbūt žurnalas ar aplankas), gulintis ant pos 35"
Žagarinė salonas,46,3,neįskaitoma: stora balta brošiūra be matomo teksto ant nugarėlės
Žagarinė salonas,46,5,neįskaitoma: plona šviesi brošiūra be teksto ant nugarėlės
Žagarinė salonas,46,6,neįskaitoma: juodas aplankas / segtuvas be užrašo
Žagarinė salonas,46,7,neįskaitoma: raudonas segtuvas su laisvais lapais
Žagarinė salonas,46,18,"neįskaitoma: plona alyvuogių spalvos knyga, teksto nesimato"
Žagarinė salonas,46,21,"neįskaitoma: kreminė knyga žaliu kraštu, teksto neįskaitoma"
Žagarinė salonas,46,24,"neįskaitoma: melsva knyga, nugarėlėje „…Songs for the…“ — likusi dalis neįskaitoma"
Žagarinė salonas,46,25,neįskaitoma: juoda knyga be matomo teksto
Žagarinė salonas,46,26,neįskaitoma: antra juoda knyga be matomo teksto
