Nr.,Autorius,Pavadinimas,Originalo pavadinimas,Kalba,Leidykla,Metai,Žanras,Serija,Puslapiai,ISBN,Lentynos vieta,Pastabos,Teminė linija,Subgrupė,ID,Statusas,Dabartinis laikytojas,Būklė,Kaina (EUR),Įsigijimo data,Įsigijimo šaltinis,Tiražas,Originalo metai,Foto,Atnaujinta,Kas atnaujino,Patalpa,Lentyna
11.0,Bertolt Brecht,Über Realismus,,Vokiečių,Suhrkamp (edition suhrkamp),,Literatūros teorija / esė,edition suhrkamp,,,"Spinta A, 1 lentyna (viršutinė)",Nr. „442“ (edition suhrkamp serija),A5. Vokiškoji lentyna (originalo k.),,K00011,Lentynoje,,,,,,,,,,,,
12.0,Rainer Maria Rilke,Die Aufzeichnungen des Malte Laurids Brigge,,Vokiečių,Reclam,,Romanas,,,,"Spinta A, 1 lentyna (viršutinė)",Orig. 1910,A5. Vokiškoji lentyna (originalo k.),,K00012,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,43.0
13.0,,The Oxford Book of German Verse,,Vokiečių / anglų,Oxford University Press,,Poezijos antologija,,,,"Spinta A, 1 lentyna (viršutinė)",Sudaryta antologija,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00013,Lentynoje,,,,,,,,,,,,
14.0,Hutten; Müntzer; Luther,"Hutten, Müntzer, Luther (1 tomas)",,Vokiečių,Bibliothek Deutscher Klassiker (BDK),,Rinktiniai raštai (Reformacija),BDK,,,"Spinta A, 1 lentyna (viršutinė)","Reformacijos autorių rinktinė, 2 t. leidimas (VDR). Tikslų pavadinimą patikslinti",A5. Vokiškoji lentyna (originalo k.),,K00014,Lentynoje,,,,,,,,,,,,
15.0,Hutten; Müntzer; Luther,"Hutten, Müntzer, Luther (2 tomas)",,Vokiečių,Bibliothek Deutscher Klassiker (BDK),,Rinktiniai raštai (Reformacija),BDK,,,"Spinta A, 1 lentyna (viršutinė)",2 tomas,A5. Vokiškoji lentyna (originalo k.),,K00015,Lentynoje,,,,,,,,,,,,
16.0,,,,,,,,,,,"Spinta A, 1 lentyna (viršutinė)","PATIKSLINTI: tamsiai raudona, stipriai suplyšusi nugarėlė — neįskaitoma","X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00016,Lentynoje,,,,,,,,,,,,
17.0,Max Frisch,Rinktinė (romanai),,Rusų,ОЛМА-ПРЕСС,,Proza / romanai,ХХ век. Зарубежная классика,,,"Spinta A, 1 lentyna (viršutinė)",PATIKSLINTI tikslų pavadinimą (rusiška M. Frisch rinktinė),A6. XX a. modernizmas,,K00017,Lentynoje,,,,,,,,,,,,
18.0,Paul Zumthor,Das Alltagsleben in Holland zur Zeit Rembrandts,,Vokiečių,,,Kultūros istorija,,,,"Spinta A, 1 lentyna (viršutinė)",Žymė „1434“ (serijos nr.),E31. Istorijos biblioteka,Kultūros istorija,K00018,Lentynoje,,,,,,,,,,,,
19.0,Multatuli,Maksas Havelaras,Max Havelaar,Lietuvių,,,Romanas,,,,"Spinta A, 1 lentyna (viršutinė)",Orig. 1860. Leidimo metus patikslinti,A3. Klasikos kanonas (pagal šalis),Šiaurės ir Vidurio Europos klasika,K00019,Lentynoje,,,,,,,,,,,,
20.0,Peter Handke,Als das Wünschen noch geholfen hat,,Vokiečių,Suhrkamp (suhrkamp taschenbuch),,Eilėraščiai / proza,suhrkamp taschenbuch,,,"Spinta A, 1 lentyna (viršutinė)",Nr. „st 208“,A5. Vokiškoji lentyna (originalo k.),,K00020,Lentynoje,,,,,,,,,,,,
21.0,Stefan Zweig,"Trys meistrai: Balzakas, Dikensas, Dostojevskis","Drei Meister: Balzac, Dickens, Dostojewski",Lietuvių,,,Esė / literatūros kritika,,,,"Spinta A, 1 lentyna (viršutinė)",Nugarėlėje: Balzacas · Dickensas · Dostojevskis,A6. XX a. modernizmas,,K00021,Lentynoje,,,,,,,,,,,,
22.0,Johann Wolfgang von Goethe,Rinktinė,,Rusų,,,Grožinė literatūra,,,,"Spinta A, 1 lentyna (viršutinė)",PATIKSLINTI tikslų pavadinimą (rusiška „ГЁТЕ“ rinktinė),A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00022,Lentynoje,,,,,,,,,,,,
23.0,Arthur Schopenhauer,Свобода воли и нравственность,Über die Freiheit des Willens; Über die Grundlage der Moral,Rusų,,,Filosofija,,,,"Spinta A, 1 lentyna (viršutinė)",,D19. Filosofijos klasika,Vokiečių idealizmas ir XIX a.,K00023,Lentynoje,,,,,,,,,,,,
24.0,Brothers Grimm (broliai Grimai),Grimms' Fairy Tales,Kinder- und Hausmärchen,Anglų,Penguin,,Pasakos,,,0-14-062158-X,"Spinta A, 1 lentyna (viršutinė)",,C16. Vaikų literatūra ir pasakos,Pasaulio vaikų klasika,K00024,Lentynoje,,,,,,,,,,,,
25.0,Gotthold Ephraim Lessing,Rinktinė (dramos),,Vokiečių,,,Dramaturgija / esė,,,,"Spinta A, 1 lentyna (viršutinė)","PATIKSLINTI tikslų pavadinimą (geltona nugarėlė, gotikinis šriftas)",A5. Vokiškoji lentyna (originalo k.),,K00025,Lentynoje,,,,,,,,,,,,
26.0,Johann Peter Eckermann,Pokalbiai su Goethe,Gespräche mit Goethe,Lietuvių,Aidai,,Memuarai / pokalbiai,,,,"Spinta A, 1 lentyna (viršutinė)",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00026,Lentynoje,,,,,,,,,,,,
27.0,Johann Wolfgang von Goethe (J. V. Getė),Faustas,Faust,Lietuvių,,,Drama / poema,,,,"Spinta A, 1 lentyna (viršutinė)",,A3. Klasikos kanonas (pagal šalis),Vokiečių klasika vertimuose,K00027,Lentynoje,,,,,,,,,,,,
28.0,Johann Wolfgang von Goethe,Faust,,Vokiečių,,,Drama / poema,,,,"Spinta A, 1 lentyna (viršutinė)",Originalo kalba (vokiečių),A5. Vokiškoji lentyna (originalo k.),,K00028,Lentynoje,,,,,,,,,,,,
29.0,Hermann Hesse (Hermanas Hesė),Sidharta,Siddhartha,Lietuvių,,,Romanas,,,,"Spinta A, 1 lentyna (viršutinė)",,A6. XX a. modernizmas,,K00029,Lentynoje,,,,,,,,,,,,
30.0,,Vokiečių romantikų proza,,Lietuvių,,,Proza / antologija,,,,"Spinta A, 1 lentyna (viršutinė)",Sudaryta antologija (vokiečių romantizmas),A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00030,Lentynoje,,,,,,,,,,,,
31.0,Ray Bradbury,Rinktinė,,Rusų,,,Fantastika / apsakymai,,,,"Spinta A, 2 lentyna",PATIKSLINTI tikslų pavadinimą (žalias rusiškas tomas „Рэй Брэдбери“),B11. SF aukso amžius,,K00031,Lentynoje,,,,,,,,,,,,
32.0,Thomas Wolfe,Rinktinė,,Rusų,,,Proza / romanas,,,,"Spinta A, 2 lentyna",PATIKSLINTI tikslų pavadinimą (žalias rusiškas tomas „Томас Вулф“),A7. Prarastoji karta ir Amerikos XX a.,,K00032,Lentynoje,,,,,,,,,,,,
33.0,Charles Bukowski,Юг без признаков севера,South of No North,Rusų,,,Apsakymai,,,,"Spinta A, 2 lentyna",,A8. Bitnikai ir kontrkultūra,,K00033,Lentynoje,,,,,,,,,,,,
34.0,George Orwell,Burmese Days,,Anglų,Penguin,,Romanas,,,,"Spinta A, 2 lentyna",Orig. 1934,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00034,Lentynoje,,,,,,,,,,,,
35.0,John Galsworthy,The Forsyte Saga,,Anglų,Penguin,,Romanas,,,,"Spinta A, 2 lentyna",Matosi kaip tomeliai (žyma „3“); tikslų tomų skaičių patikslinti,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00035,Lentynoje,,,,,,,,,,,,
36.0,Herman Melville,Собрание сочинений (1 tomas),,Rusų,,,Proza,,,,"Spinta A, 2 lentyna","3 tomų komplektas, 1 tomas",A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00036,Lentynoje,,,,,,,,,,,,
37.0,Herman Melville,Собрание сочинений (2 tomas),,Rusų,,,Proza,,,,"Spinta A, 2 lentyna",2 tomas,A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00037,Lentynoje,,,,,,,,,,,,
38.0,Herman Melville,Собрание сочинений (3 tomas),,Rusų,,,Proza,,,,"Spinta A, 2 lentyna",3 tomas,A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00038,Lentynoje,,,,,,,,,,,,
39.0,Frank Herbert,Kūrinys (galimai „Дюна“),Dune (?),Rusų,,,Mokslinė fantastika,,,,"Spinta A, 2 lentyna",PATIKSLINTI: mėlynas rusiškas tomas „Фрэнк Херберт“; tikėtina „Дюна“,B11. SF aukso amžius,,K00039,Lentynoje,,,,,,,,,,,,
40.0,Washington Irving (?),Новеллы,,Rusų,,,Apsakymai,,,,"Spinta A, 2 lentyna",PATIKSLINTI autorių; gali būti ta pati knyga kaip Nr. 41,A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00040,Lentynoje,,,,,,,,,,,,
41.0,Washington Irving,Rinktinė,,Rusų,,,Apsakymai / esė,,,,"Spinta A, 2 lentyna",Rusiška „Вашингтон Ирвинг“ rinktinė. Gali sutapti su Nr. 40,A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00041,Lentynoje,,,,,,,,,,,,
42.0,Sud. K. Andersonas (?),Очеркисты в Британии,,Rusų,,,Esė / antologija,,,,"Spinta A, 2 lentyna",PATIKSLINTI sudarytoją (britų eseistų antologija),A3. Klasikos kanonas (pagal šalis),Rusų klasika vertimuose,K00042,Lentynoje,,,,,,,,,,,,
43.0,,The Oxford Book of English Verse,,Anglų,Oxford University Press,,Poezijos antologija,,,,"Spinta A, 2 lentyna",Sudaryta antologija,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00043,Lentynoje,,,,,,,,,,,,
44.0,G. K. Chesterton (Chestertonas),Esė,,Lietuvių,,,Esė,,,,"Spinta A, 2 lentyna",Odinis leidimas,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00044,Lentynoje,,,,,,,,,,,,
45.0,P. G. Wodehouse,Summer Lightning,,Anglų,Penguin,,Humoristinis romanas,,,0-14-000908-7,"Spinta A, 2 lentyna",,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00045,Lentynoje,,,,,,,,,,,,
46.0,Algernon Charles Swinburne,Poems and Ballads & Atalanta in Calydon,,Anglų,Penguin,,Poezija,,,,"Spinta A, 2 lentyna",,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00046,Lentynoje,,,,,,,,,,,,
47.0,Charles Dickens,David Copperfield,,Anglų,Houghton Mifflin (HM Co.),,Romanas,,,,"Spinta A, 2 lentyna",Žymė „B24“,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00047,Lentynoje,,,,,,,,,,,,
48.0,Lord Chesterfield,Laiškai sūnui,Letters to His Son,Lietuvių,,,Laiškai / esė,,,,"Spinta A, 2 lentyna",,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00048,Lentynoje,,,,,,,,,,,,
49.0,William Makepeace Thackeray (V. M. Tekerėjus),Tuštybės mugė (1 tomas),Vanity Fair,Lietuvių,,,Romanas,,,,"Spinta A, 2 lentyna",Nugarėlėje „Tustybės mugė I“,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00049,Lentynoje,,,,,,,,,,,,
50.0,William Makepeace Thackeray (V. M. Tekerėjus),Tuštybės mugė (2 tomas),Vanity Fair,Lietuvių,,,Romanas,,,,"Spinta A, 2 lentyna",Nugarėlėje „Tustybės mugė II“,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00050,Lentynoje,,,,,,,,,,,,
51.0,Arthur Schopenhauer,Rinktinė,,,,,Filosofija,,,,"Spinta A, 2 lentyna",PATIKSLINTI kalbą ir pavadinimą (prabangus odinis „SCHOPENHAUER“),D19. Filosofijos klasika,Vokiečių idealizmas ir XIX a.,K00051,Lentynoje,,,,,,,,,,,,
52.0,William Shakespeare (Уильям Шекспир),Трагедии,,Rusų,,,Dramaturgija / tragedijos,Мировая классика,,,"Spinta A, 2 lentyna",Mėlynas odinis tomas,A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00052,Lentynoje,,,,,,,,,,,,
53.0,William Shakespeare (Viljamas Šekspyras),Dramos. Sonetai (1 tomas),,Lietuvių,,,Dramaturgija / poezija,,,,"Spinta A, 2 lentyna",Odinis leidimas,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00053,Lentynoje,,,,,,,,,,,,
54.0,William Shakespeare (Viljamas Šekspyras),Dramos. Sonetai (2 tomas),,Lietuvių,,,Dramaturgija / poezija,,,,"Spinta A, 2 lentyna","Odinis leidimas, 2 tomas",A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00054,Lentynoje,,,,,,,,,,,,
55.0,Plutarchas (Плутарх),Застольные беседы,Quaestiones convivales,Rusų,,,Esė / filosofija,,,,"Spinta A, 2 lentyna",„Table Talk“ (Moralia),A1. Antikos literatūra ir istorikai,,K00055,Lentynoje,,,,,,,,,,,,
56.0,William Shakespeare (Šekspyras),Sonetai,Sonnets,Lietuvių,,,Poezija,,,,"Spinta A, 2 lentyna",Baltas drobinis leidimas,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00056,Lentynoje,,,,,,,,,,,,
57.0,,,,,,,,,,,"Spinta A, 2 lentyna",PATIKSLINTI: plona geltona nugarėlė be matomo teksto,"X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00057,Lentynoje,,,,,,,,,,,,
58.0,,,,,,,,,,,"Spinta A, 2 lentyna","PATIKSLINTI: pilka knyga, nugarėlės tekstas nematomas (kampe prie vyrio)","X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00058,Lentynoje,,,,,,,,,,,,
60.0,Dante Alighieri,Dieviškoji komedija,La Divina Commedia,Lietuvių,Vaga,,Poema,,,,"Spinta A, 2 lentyna",Padėta gulsčiai ant lentynos viršaus,A3. Klasikos kanonas (pagal šalis),Italų ir ispanų klasika,K00060,Lentynoje,,,,,,,,,,,,
61.0,,,,,,,,,,,"Spinta A, 2 lentyna","PATIKSLINTI: ant lentynos viršaus gulsčiai sudėtos senos knygos (šviesios nugarėlės), pavadinimai neįskaitomi. Reikia atskiros nuotraukos","X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00061,Lentynoje,,,,,,,,,,,,
62.0,Charles De Coster (Šarlis de Kosteris),Legenda apie Ulenšpigį,La Légende d'Ulenspiegel,Lietuvių,,,Romanas,,,,"Spinta A, 3 lentyna",,A3. Klasikos kanonas (pagal šalis),Šiaurės ir Vidurio Europos klasika,K00062,Lentynoje,,,,,,,,,,,,
63.0,Benvenuto Cellini,The Autobiography of Benvenuto Cellini,La Vita,Anglų,Everyman's Library,,Autobiografija,Everyman's Library,,,"Spinta A, 3 lentyna",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00063,Lentynoje,,,,,,,,,,,,
64.0,Abbé Prévost,Manon Lescaut,Manon Lescaut,Anglų,Oxford University Press,,Romanas,Oxford World's Classics,,,"Spinta A, 3 lentyna",,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00064,Lentynoje,,,,,,,,,,,,
65.0,,,,,,,,,,,"Spinta A, 3 lentyna","PATIKSLINTI: ruda dėmėta nugarėlė (greta Manon Lescaut), tekstas nematomas","X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00065,Lentynoje,,,,,,,,,,,,
66.0,Antoine de Saint-Exupéry (Antuanas de Sent Egziuperi),Raštai / rinktinė,,Lietuvių,,,Proza,,,,"Spinta A, 3 lentyna",PATIKSLINTI tikslų pavadinimą (auksinė nugarėlė),A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00066,Lentynoje,,,,,,,,,,,,
67.0,Eduard Mörike,Mozart's Journey to Prague and a Selection of Poems,Mozart auf der Reise nach Prag,Anglų,Penguin Classics,,Apysaka / poezija,Penguin Classics,,,"Spinta A, 3 lentyna",,A3. Klasikos kanonas (pagal šalis),Vokiečių klasika vertimuose,K00067,Lentynoje,,,,,,,,,,,,
68.0,Alfred de Musset,The Confession of a Child of the Century,La Confession d'un enfant du siècle,Anglų,Penguin Classics,,Romanas,Penguin Classics,,,"Spinta A, 3 lentyna",,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00068,Lentynoje,,,,,,,,,,,,
69.0,Laurence Sterne,"The Life and Opinions of Tristram Shandy, Gentleman",,Anglų,Penguin Classics,,Romanas,Penguin Classics,,,"Spinta A, 3 lentyna",,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00069,Lentynoje,,,,,,,,,,,,
70.0,Henri Murger,Scenes from the Latin Quarter,Scènes de la vie de bohème,Anglų,Capuchin Classics,,Romanas,Capuchin Classics,,,"Spinta A, 3 lentyna",,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00070,Lentynoje,,,,,,,,,,,,
71.0,Jean de La Fontaine,Selected Fables,Fables,Anglų,Penguin Classics,,Pasakėčios,Penguin Classics,,,"Spinta A, 3 lentyna",,C16. Vaikų literatūra ir pasakos,Vaikų knygos ir lavinimas,K00071,Lentynoje,,,,,,,,,,,,
72.0,François Rabelais,Gargantiua ir Pantagriuelis,Gargantua et Pantagruel,Lietuvių,,,Romanas / satyra,,,,"Spinta A, 3 lentyna",keli lietuviški leidimai (Vaga 1986 PLB Nr. 19; Jotema 2011) – neidentifikuota,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos ★ pora: originalas + vertimas,K00072,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,55.0
73.0,Ludovico Ariosto,Orlando Furioso,Orlando Furioso,Anglų,Oxford University Press,,Epinė poema,Oxford World's Classics,,,"Spinta A, 3 lentyna",,A2. Viduramžių ir tautų epai,,K00073,Lentynoje,,,,,,,,,,,,
74.0,Honoré de Balzac (Бальзак),Rinktinė,,Rusų,,,Proza,,,,"Spinta A, 3 lentyna",PATIKSLINTI tikslų pavadinimą (žalias rusiškas tomas),A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00074,Lentynoje,,,,,,,,,,,,
75.0,James Boswell,Besuch bei Rousseau und Voltaire,Boswell on the Grand Tour,Vokiečių,Europäische Verlagsanstalt,,Kelionių esė,,,,"Spinta A, 3 lentyna",,A5. Vokiškoji lentyna (originalo k.),,K00075,Lentynoje,,,,,,,,,,,,
76.0,Patrick Rambaud,Il neigeait,,Prancūzų,Le Livre de Poche,,Istorinis romanas,,,,"Spinta A, 3 lentyna",Nr. 15264,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00076,Lentynoje,,,,,,,,,,,,
77.0,André Gide,La symphonie pastorale,,Prancūzų,Gallimard (Folio),,Apysaka,Folio,,,"Spinta A, 3 lentyna",,A6. XX a. modernizmas,,K00077,Lentynoje,,,,,,,,,,,,
78.0,Honoré de Balzac,Trisdešimties metų moteris,La Femme de trente ans,Lietuvių,,,Romanas,,,,"Spinta A, 3 lentyna",,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00078,Lentynoje,,,,,,,,,,,,
79.0,Daniel Defoe,Robinson Crusoe,,Prancūzų (?),Gallimard (Folio),,Romanas,Folio,,,"Spinta A, 3 lentyna",PATIKSLINTI kalbą (leidykla „folio“ — galimai prancūzų k.),A3. Klasikos kanonas (pagal šalis),Anglų klasika ★ pora: originalas + vertimas,K00079,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,57.0
80.0,Romain Gary,La vie devant soi,,Prancūzų,Gallimard (Folio),,Romanas,Folio,,,"Spinta A, 3 lentyna",Nr. 1362,B9. Šiuolaikinė pasaulio proza,Šiuolaikinis pasaulio romanas,K00080,Lentynoje,,,,,,,,,,,,
81.0,Apuleius,The Golden Ass,Metamorphoses (Asinus aureus),Anglų,Oxford University Press,,Romanas,Oxford World's Classics,,,"Spinta A, 3 lentyna",,A1. Antikos literatūra ir istorikai,,K00081,Lentynoje,,,,,,,,,,,,
82.0,Henrik Ibsen,Four Major Plays,,Anglų,Oxford University Press,,Dramaturgija,Oxford World's Classics,,,"Spinta A, 3 lentyna",,A3. Klasikos kanonas (pagal šalis),Šiaurės ir Vidurio Europos klasika,K00082,Lentynoje,,,,,,,,,,,,
83.0,Thomas De Quincey,Confessions of an English Opium-Eater,,Anglų,Oxford University Press,,Memuarai,Oxford World's Classics,,,"Spinta A, 3 lentyna",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00083,Lentynoje,,,,,,,,,,,,
84.0,John Keats,Selected Poetry,,Anglų,Oxford University Press,,Poezija,Oxford World's Classics,,,"Spinta A, 3 lentyna",,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00084,Lentynoje,,,,,,,,,,,,
85.0,Laurence Sterne,A Sentimental Journey and Other Writings,,Anglų,Oxford University Press,,Proza,Oxford World's Classics,,,"Spinta A, 3 lentyna",,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00085,Lentynoje,,,,,,,,,,,,
86.0,Blaise Pascal,Pensées and Other Writings,Pensées,Anglų,Oxford University Press,,Filosofija,Oxford World's Classics,,,"Spinta A, 3 lentyna",,D19. Filosofijos klasika,Antika–Apšvieta,K00086,Lentynoje,,,,,,,,,,,,
87.0,Thomas Carlyle,Sartor Resartus,,Anglų,Oxford University Press,,Proza / filosofija,Oxford World's Classics,,,"Spinta A, 3 lentyna",,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00087,Lentynoje,,,,,,,,,,,,
88.0,Walter Scott,Ivanhoe,,Anglų,Oxford University Press,,Istorinis romanas,Oxford World's Classics,,,"Spinta A, 3 lentyna",,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00088,Lentynoje,,,,,,,,,,,,
89.0,Lord Byron,The Major Works,,Anglų,Oxford University Press,,Poezija / raštai,Oxford World's Classics,,,"Spinta A, 3 lentyna",,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00089,Lentynoje,,,,,,,,,,,,
90.0,Geoffrey Chaucer,The Canterbury Tales,,Anglų,Oxford University Press,,Poezija,Oxford World's Classics,,,"Spinta A, 3 lentyna",,A2. Viduramžių ir tautų epai,,K00090,Lentynoje,,,,,,,,,,,,
91.0,Thomas Carlyle,"On Heroes, Hero-Worship, and the Heroic in History",,Anglų,Yale University Press,,Esė / paskaitos,,,,"Spinta A, 3 lentyna",,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00091,Lentynoje,,,,,,,,,,,,
92.0,Judah Halevi,The Kuzari,Kitab al-Khazari,Anglų,,,Filosofija / teologija,,,,"Spinta A, 4 lentyna",,D21. Religijotyra ir šventraščiai,Krikščionybė ir religijotyra,K00092,Lentynoje,,,,,,,,,,,,
93.0,,Upanišados,Upaniṣad,Lietuvių,,,Religija / filosofija,,,,"Spinta A, 4 lentyna",Sudarytas rinkinys,D21. Religijotyra ir šventraščiai,Šventraščiai,K00093,Lentynoje,,,,,,,,,,,,
94.0,A. C. Bhaktivedanta Swami Prabhupada,"Bhagavad-gītā, kokia ji yra",Bhagavad-gītā As It Is,Lietuvių,The Bhaktivedanta Book Trust,,Religija,,,,"Spinta A, 4 lentyna",,D21. Religijotyra ir šventraščiai,Šventraščiai,K00094,Lentynoje,,,,,,,,,,,,
95.0,,Lehrreden des Gotama Buddha,,Vokiečių,Honos,,Religija (budizmas),,,,"Spinta A, 4 lentyna",Budos pamokymų rinkinys,D21. Religijotyra ir šventraščiai,Rytų religijos,K00095,Lentynoje,,,,,,,,,,,,
96.0,Michael J. Gelb,Norėčiau mokėti daryti stebuklus: Leonardo da Vinci (septyni žingsniai genijaus link),How to Think Like Leonardo da Vinci,Lietuvių,,,Saviugda,,,,"Spinta A, 4 lentyna",,D23. Psichologija ir saviugda,Saviugda,K00096,Lentynoje,,,,,,,,,,,,
